"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Lethbridge CDA","01-June-2018","8.7","ACTUAL","100.0","16.7","ACTUAL","100.0","11.4","AGGREGATED","100.0","85.5","AGGREGATED","100.0","16.5","AGGREGATED","using element [Precip. Weighing]","16.5","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","100.0","1.5","COMPUTED","14.0","COMPUTED","","6.7","COMPUTED","","21.3","COMPUTED","","9.0","COMPUTED","3.4","COMPUTED","","2.6","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","7.7","COMPUTED"
"Lethbridge CDA","02-June-2018","10.9","ACTUAL","100.0","22.1","ACTUAL","100.0","16.6","AGGREGATED","100.0","44.5","AGGREGATED","100.0","16.9","AGGREGATED","using element [Precip. Weighing]","0.4","AGGREGATED","using element [Precip. Weighing]","27.1","AGGREGATED","100.0","4.6","COMPUTED","14.3","COMPUTED","","7.5","COMPUTED","","21.1","COMPUTED","","18.3","COMPUTED","3.4","COMPUTED","","7.1","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","19.2","COMPUTED"
"Lethbridge CDA","03-June-2018","9.1","ACTUAL","100.0","27.1","ACTUAL","100.0","18.1","AGGREGATED","100.0","49.1","AGGREGATED","100.0","17.1","AGGREGATED","using element [Precip. Weighing]","0.2","AGGREGATED","using element [Precip. Weighing]","9.4","AGGREGATED","100.0","7.2","COMPUTED","14.3","COMPUTED","","7.6","COMPUTED","","21.1","COMPUTED","","27.6","COMPUTED","1.7","COMPUTED","","6.2","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","32.3","COMPUTED"
"Lethbridge CDA","04-June-2018","13.4","ACTUAL","100.0","24.6","ACTUAL","100.0","19.4","AGGREGATED","100.0","43.1","AGGREGATED","100.0","17.3","AGGREGATED","using element [Precip. Weighing]","0.2","AGGREGATED","using element [Precip. Weighing]","23.1","AGGREGATED","100.0","8.6","COMPUTED","14.9","COMPUTED","","7.8","COMPUTED","","22.0","COMPUTED","","37.5","COMPUTED","1.7","COMPUTED","","7.5","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","46.3","COMPUTED"
"Lethbridge CDA","05-June-2018","5.2","ACTUAL","100.0","22.2","ACTUAL","100.0","15.0","AGGREGATED","100.0","46.5","AGGREGATED","100.0","17.3","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.8","AGGREGATED","100.0","11.4","COMPUTED","15.0","COMPUTED","","8.1","COMPUTED","","21.9","COMPUTED","","47.5","COMPUTED","1.7","COMPUTED","","5.7","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","55.0","COMPUTED"
"Lethbridge CDA","06-June-2018","6.3","ACTUAL","100.0","25.6","ACTUAL","100.0","17.5","AGGREGATED","100.0","39.1","AGGREGATED","100.0","17.4","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","12.8","AGGREGATED","100.0","15.9","COMPUTED","14.0","COMPUTED","","7.6","COMPUTED","","20.5","COMPUTED","","56.5","COMPUTED","1.7","COMPUTED","","6.5","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","66.0","COMPUTED"
"Lethbridge CDA","07-June-2018","8.8","ACTUAL","100.0","28.3","ACTUAL","100.0","19.2","AGGREGATED","100.0","46.4","AGGREGATED","100.0","17.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.7","AGGREGATED","100.0","18.2","COMPUTED","14.1","COMPUTED","","7.6","COMPUTED","","20.6","COMPUTED","","65.6","COMPUTED","1.7","COMPUTED","","6.5","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","79.5","COMPUTED"
"Lethbridge CDA","08-June-2018","14.3","ACTUAL","100.0","28.3","ACTUAL","100.0","22.4","AGGREGATED","100.0","37.1","AGGREGATED","100.0","17.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.2","AGGREGATED","100.0","21.2","COMPUTED","14.4","COMPUTED","","7.7","COMPUTED","","21.1","COMPUTED","","75.0","COMPUTED","1.7","COMPUTED","","8.1","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","95.8","COMPUTED"
"Lethbridge CDA","09-June-2018","9.2","ACTUAL","100.0","26.4","ACTUAL","100.0","17.6","AGGREGATED","100.0","58.1","AGGREGATED","100.0","19.7","AGGREGATED","using element [Precip. Weighing]","2.3","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","100.0","23.5","COMPUTED","14.4","COMPUTED","","7.8","COMPUTED","","21.1","COMPUTED","","84.4","COMPUTED","1.7","COMPUTED","","4.8","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","108.6","COMPUTED"
"Lethbridge CDA","10-June-2018","9.5","ACTUAL","100.0","17.3","ACTUAL","100.0","13.0","AGGREGATED","100.0","52.5","AGGREGATED","100.0","21.8","AGGREGATED","using element [Precip. Weighing]","2.1","AGGREGATED","using element [Precip. Weighing]","33.3","AGGREGATED","100.0","26.1","COMPUTED","14.3","COMPUTED","","7.8","COMPUTED","","20.8","COMPUTED","","93.7","COMPUTED","0.0","COMPUTED","","5.6","COMPUTED","solar-ACT, 10m-conv-2m wind, Avg.","117.0","COMPUTED"
