"","SamplerNo","Location.x","SamplerType","ExtractionGroup","qPCR_Plate","JDay","Date","SampleID","SsCtMean","SsCtSD","SsMean","logSsMean","Censored","SsSD","SsScaled","SsClean","logSsClean","VolumeSampled","sporesPCM","logSPCM","TtCt","TtSD","Water.","logSsMean_t1","Location.y","Year","MeanWetness","DiffMeanWet","MeanWet_1d","MaxWetness","DiffMaxWet","MaxWet_1d","MinWetness","DiffMinWet","MinWet_1d","MeanTemp","DiffMeanT","MeanT_1d","MaxTemp","DiffMaxT","MaxT_1d","MinTemp","DiffMinT","MinT_1d","MeanRH","DiffMeanRH","MeanRH_1d","MaxRH","DiffMaxRH","MaxRH_1d","MinRH","DiffMinRH","MinRH_1d","DiffRH_0d","DiffRH_1d","DiffRH_2d","MaxDiffRH_2h","MaxDiffRH_3h","MeanVPD","DiffMeanVPD","MeanVPD_1d","MaxVPD","DiffMaxVPD","MaxVPD_1d","MinVPD","DiffMinVPD","TotalPrecip","Precip_1d","RainYN","MaxRain","MinRain","MeanWC","DiffMeanWC","MeanWC_1d","MaxWC","DiffMaxWC","MaxWC_1d","MinWC","DiffMinWC","MinWC_1d","MeanDP","DiffMeanDP","MeanDP_1d","MaxDP","DiffMaxDP","MaxDP_1d","MinDP","DiffMinDP","MinDP_1d","MeanSoilTemp","DiffMeanSoilT","MeanSoilT_1d","MaxSoilTemp","DiffMaxSoilT","MaxSoilT_1d","MinSoilTemp","DiffMinSoilT","MinSoilT_1d"
"1","01","1917","Burkard",NA,"Plate 09",189,2019-07-08,"T1-189",160,0.14,317.43,2.503013977,FALSE,29.84,NA,317.43,2.5,24,13.23,1.15,24.37,0.07,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01","1917","Burkard",NA,"Plate 09",190,2019-07-09,"T1-190",327,0.43,67.09,1.833083334,FALSE,17.18,NA,67.09,1.83,24,2.8,0.58,24.52,0.02,"No",2.503013977,"1917",2019,4.87917,NA,NA,13.9,NA,NA,0,NA,NA,18.05417,NA,NA,26.3,NA,NA,9.3,NA,NA,66.0375,NA,NA,89.9,NA,NA,39.6,NA,NA,50.3,NA,NA,12.6,23.8,6.33836,NA,NA,14.39812,NA,NA,0.96753,NA,0,NA,0,0,0,0.13579,NA,NA,0.149,NA,NA,0.126,NA,NA,10.88333,NA,NA,14,NA,NA,6.9,NA,NA,20.62917,NA,NA,27.1,NA,NA,13.7,NA,NA
"3","01","1917","Burkard",NA,"Plate 09",191,2019-07-10,"T1-191",380,0.17,35.45,1.561697533,TRUE,3.95,NA,0,0,24,0,0,24.22,0.18,"Yes",1.833083334,"1917",2019,0.71667,-4.1625,4.87917,14.5,0.6,13.9,0,0,0,21.25417,3.2,18.05417,30.8,4.5,26.3,12.7,3.4,9.3,56.37917,-9.65833,66.0375,78.2,-11.7,89.9,37.1,-2.5,39.6,41.1,50.3,NA,20.5,30.2,9.36555,3.02719,6.33836,20.07992,5.68179,14.39812,2.69255,1.72502,18.2,0,1,17.7,0,0.13842,0.00263,0.13579,0.337,0.188,0.149,0.112,-0.014,0.126,11.5625,0.67917,10.88333,14.5,0.5,14,7.6,0.7,6.9,21.70833,1.07917,20.62917,28.2,1.1,27.1,15.4,1.7,13.7
"4","01","1917","Burkard",NA,"Plate 09",192,2019-07-11,"T1-192",209,0.36,210.56,2.325433558,FALSE,46.42,NA,210.56,2.33,24,8.77,0.99,24.94,0.18,"No",1.561697533,"1917",2019,0,-0.71667,0.71667,0,-14.5,14.5,0,0,0,20.53333,-0.72083,21.25417,27.2,-3.6,30.8,13.1,0.4,12.7,58.82083,2.44167,56.37917,80.5,2.3,78.2,39,1.9,37.1,41.5,41.1,50.3,9.9,20.5,7.90226,-1.46328,9.36555,14.61135,-5.46857,20.07992,2.32219,-0.37036,0.2,18.2,1,0.2,0,0.28342,0.145,0.13842,0.331,-0.006,0.337,0.236,0.124,0.112,11.73333,0.17083,11.5625,15.1,0.6,14.5,8.5,0.9,7.6,19.81667,-1.89167,21.70833,24.3,-3.9,28.2,15.3,-0.1,15.4
"5","01","1917","Burkard",NA,"Plate 01",193,2019-07-12,"T1-193",152,0.06,313.94,2.498227823,FALSE,11.81,NA,313.94,2.5,24,13.08,1.15,23.45,0.06,"No",2.325433558,"1917",2019,1.1,1.1,0,14.8,14.8,0,0,0,0,20.45,-0.08333,20.53333,28.6,1.4,27.2,11.8,-1.3,13.1,64.37917,5.55833,58.82083,84.5,4,80.5,39.8,0.8,39,44.7,41.5,41.1,14.8,22.8,7.11425,-0.78802,7.90226,16.54464,1.93329,14.61135,1.51168,-0.81051,17.4,0.2,1,17.2,0,0.25004,-0.03338,0.28342,0.378,0.047,0.331,0.201,-0.035,0.236,12.98333,1.25,11.73333,18.8,3.7,15.1,9.3,0.8,8.5,20.40833,0.59167,19.81667,25.7,1.4,24.3,14.5,-0.8,15.3
"6","01","1917","Burkard",NA,"Plate 01",194,2019-07-13,"T1-194",174,0.04,258,2.413299764,FALSE,7.25,NA,258,2.41,24,10.75,1.07,22.89,0.1,"No",2.498227823,"1917",2019,0.03333,-1.06667,1.1,0.3,-14.5,14.8,0,0,0,21.87083,1.42083,20.45,29.9,1.3,28.6,12.8,1,11.8,65.76667,1.3875,64.37917,83.3,-1.2,84.5,47.7,7.9,39.8,35.6,44.7,41.5,10.3,19.7,7.57219,0.45794,7.11425,15.78407,-0.76057,16.54464,1.7336,0.22192,0,17.4,0,0,0,0.30375,0.05371,0.25004,0.349,-0.029,0.378,0.262,0.061,0.201,14.825,1.84167,12.98333,20.7,1.9,18.8,8.9,-0.4,9.3,21.22917,0.82083,20.40833,27.1,1.4,25.7,15.3,0.8,14.5
"7","01","1917","Burkard",NA,"Plate 01",195,2019-07-14,"T1-195",77,0.05,711.62,2.852858007,FALSE,24.34,NA,711.62,2.85,24,29.65,1.49,22.53,0.01,"No",2.413299764,"1917",2019,0.0625,0.02917,0.03333,0.5,0.2,0.3,0,0,0,20.44167,-1.42917,21.87083,29,-0.9,29.9,13.7,0.9,12.8,72.66667,6.9,65.76667,93.6,10.3,83.3,45.8,-1.9,47.7,47.8,35.6,44.7,14.7,14.8,5.46591,-2.10628,7.57219,13.64942,-2.13465,15.78407,0.76215,-0.97145,0,0,0,0,0,0.24842,-0.05533,0.30375,0.262,-0.087,0.349,0.227,-0.035,0.262,14.9875,0.1625,14.825,20.3,-0.4,20.7,10.8,1.9,8.9,20.89167,-0.3375,21.22917,25.6,-1.5,27.1,16.6,1.3,15.3
"8","01","1917","Burkard",NA,"Plate 01",196,2019-07-15,"T1-196",63,0.14,818.54,2.913570155,FALSE,75.17,NA,818.54,2.91,24,34.11,1.55,23.59,0.07,"No",2.852858007,"1917",2019,0.04583,-0.01667,0.0625,0.9,0.4,0.5,0,0,0,19.0875,-1.35417,20.44167,27,-2,29,10.8,-2.9,13.7,66.725,-5.94167,72.66667,86.9,-6.7,93.6,38.6,-7.2,45.8,48.3,47.8,35.6,13.9,25.5,6.47225,1.00634,5.46591,15.26116,1.61174,13.64942,1.20032,0.43816,0,0,0,0,0,0.20796,-0.04046,0.24842,0.223,-0.039,0.262,0.187,-0.04,0.227,12.10417,-2.88333,14.9875,15.8,-4.5,20.3,8.5,-2.3,10.8,20.2875,-0.60417,20.89167,26.7,1.1,25.6,14.7,-1.9,16.6
"9","01","1917","Burkard",NA,"Plate 10",197,2019-07-16,"T01-197",216,0.09,186.62,2.273279132,FALSE,11.03,NA,186.62,2.27,24,7.78,0.94,21.77,0.02,"No",2.913570155,"1917",2019,4.74167,4.69583,0.04583,14.3,13.4,0.9,0,0,0,18.97083,-0.11667,19.0875,24.5,-2.5,27,12.6,1.8,10.8,69.0125,2.2875,66.725,90.5,3.6,86.9,49,10.4,38.6,41.5,48.3,47.8,15,21.7,5.24792,-1.22433,6.47225,10.78432,-4.47683,15.26116,1.16718,-0.03314,1.6,0,1,0.5,0,0.18179,-0.02617,0.20796,0.196,-0.027,0.223,0.166,-0.021,0.187,12.85833,0.75417,12.10417,16.4,0.6,15.8,9.3,0.8,8.5,20.35,0.0625,20.2875,26.8,0.1,26.7,16.6,1.9,14.7
"10","01","1917","Burkard",NA,"Plate 10",198,2019-07-17,"T01-198",146,0.25,370.86,2.570379465,FALSE,63.07,NA,370.86,2.57,24,15.45,1.22,21.5,0.05,"No",2.273279132,"1917",2019,0.02083,-4.72083,4.74167,0.1,-14.2,14.3,0,0,0,17.4125,-1.55833,18.97083,26.1,1.6,24.5,8.6,-4,12.6,65.88333,-3.12917,69.0125,92.4,1.9,90.5,43.6,-5.4,49,48.8,41.5,48.3,11,21.4,5.95971,0.71179,5.24792,13.32045,2.53613,10.78432,0.75052,-0.41666,0,1.6,0,0,0,0.16046,-0.02133,0.18179,0.17,-0.026,0.196,0.149,-0.017,0.166,10.275,-2.58333,12.85833,14.5,-1.9,16.4,6.7,-2.6,9.3,19.2875,-1.0625,20.35,27.6,0.8,26.8,13.4,-3.2,16.6
