FieldID,Date,Year,Province,SamplerNo,SamplerType,ExtractionGroup,qPCR_Plate,JDay,SampleID,SsCtMean,SsCtSD,SsMean,logSsMean,VolumeSampled,TtCt,TtSD,Water?,logSs_t1,MeanWetness,DiffMeanWet,MeanWet_1d,MaxWetness,DiffMaxWet,MaxWet_1d,MinWetness,DiffMinWet,MinWet_1d,MeanTemp,DiffMeanT,MeanT_1d,MaxTemp,DiffMaxT,MaxT_1d,MinTemp,DiffMinT,MinT_1d,MeanRH,DiffMeanRH,MeanRH_1d,MaxRH,DiffMaxRH,MaxRH_1d,MinRH,DiffMinRH,MinRH_1d,DiffRH_0d,DiffRH_1d,DiffRH_2d,MaxDiffRH_2h,MaxDiffRH_3h,MeanVPD,DiffMeanVPD,MeanVPD_1d,MaxVPD,DiffMaxVPD,MaxVPD_1d,MinVPD,DiffMinVPD,MinVPD_1d,TotalPrecip,Precip_1d,RainYN,MaxRain,MinRain,MeanWC,DiffMeanWC,MeanWC_1d,MaxWC,DiffMaxWC,MaxWC_1d,MinWC,DiffMinWC,MinWC_1d,MeanDP,DiffMeanDP,MeanDP_1d,MaxDP,DiffMaxDP,MaxDP_1d,MinDP,DiffMinDP,MinDP_1d,MeanSoilTemp,DiffMeanSoilT,MeanSoilT_1d,MaxSoilTemp,DiffMaxSoilT,MaxSoilT_1d,MinSoilTemp,DiffMinSoilT,MinSoilT_1d
1904,2019-07-05,2019,Alberta,08,Burkard,NA,Plate 13,186,T08-186,37.15,0.63,6.51,0.875639937,24,23.6,0.1,No,NA,5.2375,NA,NA,14.4,NA,NA,0,NA,NA,14.15833,NA,NA,18.7,NA,NA,11,NA,NA,83.95417,NA,NA,98.4,NA,NA,67.1,NA,NA,31.3,NA,NA,7.5,13.8,2.01737,NA,NA,4.93566,NA,NA,0.15125,NA,NA,0.2,NA,1,0.2,0,0.15579,NA,NA,0.162,NA,NA,0.152,NA,NA,11.35833,NA,NA,12.9,NA,NA,8.8,NA,NA,15.51667,NA,NA,19.8,NA,NA,12.8,NA,NA
1904,2019-07-06,2019,Alberta,08,Burkard,NA,Plate 13,187,T08-187,40.00,0,0,0,24,23.29,0.07,No,0.875639937,3.36667,-1.87083,5.2375,14.5,0.1,14.4,0,0,0,19.91667,5.75833,14.15833,31.6,12.9,18.7,10,-1,11,71.13333,-12.82083,83.95417,98.9,0.5,98.4,37.3,-29.8,67.1,61.6,31.3,NA,20.7,26.4,7.0127,4.99533,2.01737,21.0408,16.10515,4.93566,0.10661,-0.04464,0.15125,10.4,0.2,1,9.9,0,0.157,0.00121,0.15579,0.187,0.025,0.162,0.146,-0.006,0.152,13.5625,2.20417,11.35833,17.4,4.5,12.9,9.2,0.4,8.8,19.87917,4.3625,15.51667,35.5,15.7,19.8,12.4,-0.4,12.8
1904,2019-07-07,2019,Alberta,08,Burkard,NA,Plate 13,188,T08-188,36.85,0.25,7.57,0.932980822,24,23.4,0.07,No,0,4.90417,1.5375,3.36667,14.3,-0.2,14.5,0,0,0,17.54583,-2.37083,19.91667,27.7,-3.9,31.6,10.1,0.1,10,78.14167,7.00833,71.13333,99.4,0.5,98.9,43.1,5.8,37.3,56.3,61.6,31.3,15.8,26.9,4.06842,-2.94428,7.0127,14.96925,-6.07155,21.0408,0.06037,-0.04624,0.10661,10,10.4,1,9.6,0,0.2305,0.0735,0.157,0.313,0.126,0.187,0.187,0.041,0.146,13.175,-0.3875,13.5625,17.3,-0.1,17.4,9.7,0.5,9.2,17.97917,-1.9,19.87917,28,-7.5,35.5,12.9,0.5,12.4
1904,2019-07-08,2019,Alberta,08,Burkard,NA,Plate 13,189,T08-189,38.80,0.76,2.32,0.521138084,24,24.03,0.05,No,0.932980822,0.01667,-4.8875,4.90417,0.4,-13.9,14.3,0,0,0,16.92083,-0.625,17.54583,23.2,-4.5,27.7,10,-0.1,10.1,72.65,-5.49167,78.14167,90.7,-8.7,99.4,51.3,8.2,43.1,39.4,56.3,61.6,14.1,17.8,4.26643,0.19801,4.06842,9.67492,-5.29433,14.96925,0.81571,0.75534,0.06037,0,10,0,0,0,0.18425,-0.04625,0.2305,0.196,-0.117,0.313,0.166,-0.021,0.187,11.66667,-1.50833,13.175,14.9,-2.4,17.3,8.4,-1.3,9.7,17.8625,-0.11667,17.97917,28.9,0.9,28,11.8,-1.1,12.9
1904,2019-07-09,2019,Alberta,08,Burkard,NA,Plate 13,190,T08-190,33.44,0.25,65.06,1.819938569,24,24.41,0.08,No,0.521138084,0.02083,0.00417,0.01667,0.3,-0.1,0.4,0,0,0,18.24167,1.32083,16.92083,26.5,3.3,23.2,9.6,-0.4,10,70.9375,-1.7125,72.65,95.1,4.4,90.7,46.2,-5.1,51.3,48.9,39.4,56.3,14.3,23.9,5.57207,1.30564,4.26643,13.13243,3.45751,9.67492,0.46032,-0.35539,0.81571,0,0,0,0,0,0.16146,-0.02279,0.18425,0.183,-0.013,0.196,0.149,-0.017,0.166,12.25833,0.59167,11.66667,15.2,0.3,14.9,8.4,0,8.4,19.83333,1.97083,17.8625,34.9,6,28.9,12.8,1,11.8
1904,2019-07-10,2019,Alberta,08,Burkard,NA,Plate 13,191,T08-191,33.09,0.38,82.17,1.919966701,24,23.8,0.1,No,1.819938569,0,-0.02083,0.02083,0,-0.3,0.3,0,0,0,21.55,3.30833,18.24167,30.8,4.3,26.5,11.8,2.2,9.6,58.975,-11.9625,70.9375,89.5,-5.6,95.1,32.8,-13.4,46.2,56.7,48.9,39.4,18.3,24.2,9.52445,3.95238,5.57207,20.49492,7.3625,13.13243,1.04993,0.58961,0.46032,0,0,0,0,0,0.13425,-0.02721,0.16146,0.146,-0.037,0.183,0.112,-0.037,0.149,12.10417,-0.15417,12.25833,17,1.8,15.2,9.2,0.8,8.4,20.87917,1.04583,19.83333,28.5,-6.4,34.9,14.9,2.1,12.8
1904,2019-07-11,2019,Alberta,08,Burkard,NA,Plate 13,192,T08-192,31.19,0.23,268.57,2.430671559,24,23.74,0.07,No,1.919966701,0,0,0,0,0,0,0,0,0,22.3875,0.8375,21.55,29.3,-1.5,30.8,13.6,1.8,11.8,49.57917,-9.39583,58.975,70.2,-19.3,89.5,35.2,2.4,32.8,35,56.7,48.9,13.8,20.5,10.50718,0.98273,9.52445,18.66336,-1.83156,20.49492,3.25187,2.20194,1.04993,0,0,0,0,0,0.09558,-0.03867,0.13425,0.109,-0.037,0.146,0.076,-0.036,0.112,10.89167,-1.2125,12.10417,13.6,-3.4,17,7.8,-1.4,9.2,22.36667,1.4875,20.87917,31.6,3.1,28.5,16.2,1.3,14.9
1904,2019-07-12,2019,Alberta,08,Burkard,NA,Plate 13,193,T08-193,32.00,0.43,162.95,2.214711421,24,23.4,0.1,No,2.430671559,1.8625,1.8625,0,14.7,14.7,0,0,0,0,21.5,-0.8875,22.3875,31.6,2.3,29.3,12.8,-0.8,13.6,59.93333,10.35417,49.57917,84.4,14.2,70.2,33.2,-2,35.2,51.2,35,56.7,36,36,8.93485,-1.57233,10.50718,21.74552,3.08216,18.66336,1.61941,-1.63246,3.25187,10.6,0,1,7.6,0,0.10083,0.00525,0.09558,0.209,0.1,0.109,0.069,-0.007,0.076,12.57917,1.6875,10.89167,17.8,4.2,13.6,9.3,1.5,7.8,22.75833,0.39167,22.36667,35.8,4.2,31.6,16.1,-0.1,16.2
1904,2019-07-13,2019,Alberta,08,Burkard,NA,Plate 13,194,T08-194,30.43,0.14,430.33,2.634809665,24,24.02,0.09,No,2.214711421,2.82083,0.95833,1.8625,14.6,-0.1,14.7,0,0,0,21.97917,0.47917,21.5,30.8,-0.8,31.6,11.2,-1.6,12.8,65.4875,5.55417,59.93333,93.2,8.8,84.4,41.9,8.7,33.2,51.3,51.2,35,19.2,26,8.27062,-0.66423,8.93485,17.8659,-3.87962,21.74552,0.63882,-0.9806,1.61941,13.4,10.6,1,13.2,0,0.21258,0.11175,0.10083,0.325,0.116,0.209,0.166,0.097,0.069,14.47083,1.89167,12.57917,17.7,-0.1,17.8,10.1,0.8,9.3,20.63333,-2.125,22.75833,32.5,-3.3,35.8,14.8,-1.3,16.1
1904,2019-07-14,2019,Alberta,08,Burkard,NA,Plate 13,195,T08-195,32.06,0.05,153.73,2.189574526,24,23.19,0.09,No,2.634809665,0,-2.82083,2.82083,0,-14.6,14.6,0,0,0,20.725,-1.25417,21.97917,29.9,-0.9,30.8,12.9,1.7,11.2,69,3.5125,65.4875,97.6,4.4,93.2,32.8,-9.1,41.9,64.8,51.3,51.2,22.8,26.6,6.83218,-1.43844,8.27062,20.16016,2.29426,17.8659,0.2507,-0.38812,0.63882,0,13.4,0,0,0,0.15,-0.06258,0.21258,0.162,-0.163,0.325,0.126,-0.04,0.166,13.8875,-0.58333,14.47083,19.7,2,17.7,9.9,-0.2,10.1,19.3,-1.33333,20.63333,26.1,-6.4,32.5,15.4,0.6,14.8
