,Location,JDay,Date,SsMean,MinTemp,MaxTemp,AvgTemp,AvgRH,Precip,AvgWindSpeed,month,year,YearWeek,AvgDP,logSsMean,AvgTemp_1,AvgTemp_3,AvgTemp_7,AvgRH_1,AvgRH_3,AvgRH_7,AvgDP_1,AvgDP_3,AvgDP_7,Precip_1,Precip_3,Precip_7,MaxTemp_1,MaxTemp_3,MaxTemp_7,MinTemp_1,MinTemp_3,MinTemp_7,SsMean_1,SsMean_3,SsMean_7,precip_3dTotal
0,Cranford,164,2018-06-13,295.035,7.7,26.5,17.9,38.4,0.0,22.6,6,2018,24,5.579999999999998,5.690477690577122,14.583333333333334,16.408333333333335,17.124489795918368,70.48333333333333,75.05,64.72857142857141,8.68,11.418333333333333,10.070204081632653,3.4500000000000006,1.4416666666666667,0.563265306122449,21.45,22.075000000000003,24.11428571428571,8.433333333333332,10.899999999999999,9.295918367346939,168.12833333333333,218.48833333333334,169.64000000000001,4.325
1,Cranford,165,2018-06-14,106.9,4.6,22.0,13.1,65.9,1.2,19.1,6,2018,24,6.280000000000001,4.681204872264089,17.9,16.408333333333335,17.124489795918368,38.4,75.05,64.72857142857141,5.579999999999998,11.418333333333333,10.070204081632653,0.0,1.4416666666666667,0.563265306122449,26.5,22.075000000000003,24.11428571428571,7.7,10.899999999999999,9.295918367346939,295.035,218.48833333333334,169.64000000000001,4.325
2,Cranford,166,2018-06-15,164.775,7.2,22.0,13.2,77.8,7.2,11.1,6,2018,24,8.759999999999998,5.1106314472549315,13.1,16.408333333333335,17.124489795918368,65.9,75.05,64.72857142857141,6.280000000000001,11.418333333333333,10.070204081632653,1.2,1.4416666666666667,0.563265306122449,22.0,22.075000000000003,24.11428571428571,4.6,10.899999999999999,9.295918367346939,106.9,218.48833333333334,169.64000000000001,4.325
3,Cranford,167,2018-06-16,138.38,11.2,18.1,12.5,89.3,9.8,16.5,6,2018,24,10.36,4.937204016010373,13.2,14.733333333333333,17.124489795918368,77.8,60.70000000000001,64.72857142857141,8.759999999999998,6.873333333333332,10.070204081632653,7.2,2.8000000000000003,0.563265306122449,22.0,23.5,24.11428571428571,7.2,6.5,9.295918367346939,164.775,188.90333333333334,169.64000000000001,8.4
4,Cranford,168,2018-06-17,154.545,7.7,21.8,15.8,67.1,0.0,7.8,6,2018,24,9.219999999999999,5.046935078821873,12.5,12.933333333333332,17.124489795918368,89.3,77.66666666666667,64.72857142857141,10.36,8.466666666666667,10.070204081632653,9.8,6.066666666666667,0.563265306122449,18.1,20.7,24.11428571428571,11.2,7.666666666666667,9.295918367346939,138.38,136.685,169.64000000000001,18.200000000000003
5,Cranford,169,2018-06-18,149.135,12.2,18.3,15.0,84.4,2.5,8.2,6,2018,25,11.88,5.011534889339091,15.8,13.833333333333334,17.124489795918368,67.1,78.06666666666666,64.72857142857141,9.219999999999999,9.446666666666665,10.070204081632653,0.0,5.666666666666667,0.563265306122449,21.8,20.633333333333336,24.11428571428571,7.7,8.7,9.295918367346939,154.545,152.56666666666663,169.64000000000001,17.0
6,Cranford,170,2018-06-19,498.31,12.1,23.1,17.2,72.0,0.0,9.4,6,2018,25,11.6,6.21322714534526,15.0,14.433333333333335,17.124489795918368,84.4,80.26666666666667,64.72857142857141,11.88,10.486666666666666,10.070204081632653,2.5,4.1000000000000005,0.563265306122449,18.3,19.400000000000002,24.11428571428571,12.2,10.366666666666665,9.295918367346939,149.135,147.35333333333332,169.64000000000001,12.3
7,Cranford,171,2018-06-20,56.585,8.8,24.9,17.8,71.8,0.0,14.2,6,2018,25,12.16,4.0532621171208705,17.2,16.0,14.957142857142856,72.0,74.5,70.7,11.6,10.9,9.097142857142856,0.0,0.8333333333333334,2.9571428571428577,23.1,21.066666666666666,21.685714285714287,12.1,10.666666666666666,8.957142857142857,498.31,267.33,215.29714285714286,2.5
8,Cranford,172,2018-06-21,118.885,13.7,29.2,20.6,64.3,0.0,14.0,6,2018,25,13.46,4.786532949953734,17.8,16.666666666666668,14.942857142857141,71.8,76.06666666666666,75.47142857142858,12.16,11.88,10.037142857142856,0.0,0.8333333333333334,2.9571428571428577,24.9,22.100000000000005,21.457142857142856,8.8,11.033333333333333,9.114285714285714,56.585,234.6766666666667,181.2328571428571,2.5
9,Cranford,173,2018-06-22,530.525,12.2,27.4,19.7,62.3,0.0,20.1,6,2018,25,12.159999999999998,6.2757502333644295,20.6,18.53333333333333,16.014285714285712,64.3,69.36666666666666,75.24285714285715,13.46,12.406666666666666,11.062857142857142,0.0,0.0,2.7857142857142856,29.2,25.733333333333334,22.485714285714288,13.7,11.533333333333333,10.414285714285715,118.885,224.59333333333336,182.945,0.0
