"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Vauxhall CDA CS","01-June-2018","8.8","ACTUAL","100.0","14.9","ACTUAL","100.0","11.1","AGGREGATED","100.0","87.4","AGGREGATED","100.0","19.5","AGGREGATED","using element [Precip. Weighing]","19.5","AGGREGATED","using element [Precip. Weighing]","10.8","AGGREGATED","100.0","1.1","COMPUTED","14.3","COMPUTED","","6.8","COMPUTED","","21.8","COMPUTED","","9.3","COMPUTED","5.1","COMPUTED","","2.3","COMPUTED","solar-ACT, 2m wind, Avg.","6.9","COMPUTED"
"Vauxhall CDA CS","02-June-2018","7.4","ACTUAL","100.0","22.6","ACTUAL","100.0","15.8","AGGREGATED","100.0","58.7","AGGREGATED","100.0","19.6","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","15.4","AGGREGATED","100.0","3.7","COMPUTED","14.9","COMPUTED","","7.7","COMPUTED","","22.1","COMPUTED","","19.2","COMPUTED","5.1","COMPUTED","","5.4","COMPUTED","solar-ACT, 2m wind, Avg.","16.9","COMPUTED"
"Vauxhall CDA CS","03-June-2018","7.1","ACTUAL","100.0","24.9","ACTUAL","100.0","16.7","AGGREGATED","100.0","60.8","AGGREGATED","100.0","19.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","100.0","6.4","COMPUTED","14.8","COMPUTED","","7.7","COMPUTED","","22.0","COMPUTED","","29.0","COMPUTED","5.1","COMPUTED","","5.5","COMPUTED","solar-ACT, 2m wind, Avg.","27.9","COMPUTED"
"Vauxhall CDA CS","04-June-2018","13.6","ACTUAL","100.0","25.2","ACTUAL","100.0","19.4","AGGREGATED","100.0","47.6","AGGREGATED","100.0","19.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.5","AGGREGATED","100.0","7.8","COMPUTED","15.4","COMPUTED","","8.0","COMPUTED","","22.8","COMPUTED","","39.4","COMPUTED","5.1","COMPUTED","","7.0","COMPUTED","solar-ACT, 2m wind, Avg.","42.2","COMPUTED"
"Vauxhall CDA CS","05-June-2018","5.7","ACTUAL","100.0","21.8","ACTUAL","100.0","14.3","AGGREGATED","100.0","56.9","AGGREGATED","100.0","19.7","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","12.7","AGGREGATED","100.0","9.9","COMPUTED","15.4","COMPUTED","","8.3","COMPUTED","","22.6","COMPUTED","","49.8","COMPUTED","5.1","COMPUTED","","5.3","COMPUTED","solar-ACT, 2m wind, Avg.","51.0","COMPUTED"
"Vauxhall CDA CS","06-June-2018","7.9","ACTUAL","100.0","26.0","ACTUAL","100.0","17.9","AGGREGATED","100.0","41.6","AGGREGATED","100.0","19.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.4","AGGREGATED","100.0","12.5","COMPUTED","14.5","COMPUTED","","7.9","COMPUTED","","21.2","COMPUTED","","59.3","COMPUTED","5.1","COMPUTED","","6.2","COMPUTED","solar-ACT, 2m wind, Avg.","63.0","COMPUTED"
"Vauxhall CDA CS","07-June-2018","7.8","ACTUAL","100.0","28.8","ACTUAL","100.0","19.2","AGGREGATED","100.0","55.4","AGGREGATED","100.0","19.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.8","AGGREGATED","100.0","15.0","COMPUTED","14.7","COMPUTED","","8.0","COMPUTED","","21.5","COMPUTED","","69.0","COMPUTED","5.1","COMPUTED","","6.3","COMPUTED","solar-ACT, 2m wind, Avg.","76.2","COMPUTED"
"Vauxhall CDA CS","08-June-2018","12.0","ACTUAL","100.0","29.0","ACTUAL","100.0","21.4","AGGREGATED","100.0","48.1","AGGREGATED","100.0","19.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","16.4","AGGREGATED","100.0","18.4","COMPUTED","15.0","COMPUTED","","8.2","COMPUTED","","21.9","COMPUTED","","79.0","COMPUTED","5.1","COMPUTED","","7.1","COMPUTED","solar-ACT, 2m wind, Avg.","91.8","COMPUTED"
"Vauxhall CDA CS","09-June-2018","9.9","ACTUAL","100.0","31.5","ACTUAL","100.0","18.3","AGGREGATED","100.0","68.8","AGGREGATED","100.0","23.7","AGGREGATED","using element [Precip. Weighing]","4.0","AGGREGATED","using element [Precip. Weighing]","13.6","AGGREGATED","100.0","19.9","COMPUTED","14.8","COMPUTED","","8.0","COMPUTED","","21.7","COMPUTED","","88.8","COMPUTED","3.4","COMPUTED","","5.7","COMPUTED","solar-ACT, 2m wind, Avg.","107.5","COMPUTED"
"Vauxhall CDA CS","10-June-2018","10.0","ACTUAL","100.0","17.8","ACTUAL","100.0","13.6","AGGREGATED","100.0","58.4","AGGREGATED","100.0","27.2","AGGREGATED","using element [Precip. Weighing]","3.5","AGGREGATED","using element [Precip. Weighing]","33.1","AGGREGATED","100.0","22.2","COMPUTED","14.6","COMPUTED","","7.9","COMPUTED","","21.2","COMPUTED","","98.4","COMPUTED","3.4","COMPUTED","","4.9","COMPUTED","solar-ACT, 2m wind, Avg.","116.4","COMPUTED"
"Vauxhall CDA CS","11-June-2018","8.4","ACTUAL","100.0","19.1","ACTUAL","100.0","13.4","AGGREGATED","100.0","40.7","AGGREGATED","100.0","27.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.5","AGGREGATED","100.0","23.6","COMPUTED","15.0","COMPUTED","","8.2","COMPUTED","","21.8","COMPUTED","","108.4","COMPUTED","3.4","COMPUTED","","5.9","COMPUTED","solar-ACT, 2m wind, Avg.","125.1","COMPUTED"
"Vauxhall CDA CS","12-June-2018","8.2","ACTUAL","100.0","22.5","ACTUAL","100.0","15.7","AGGREGATED","100.0","34.6","AGGREGATED","100.0","27.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","21.2","AGGREGATED","100.0","26.1","COMPUTED","15.0","COMPUTED","","7.9","COMPUTED","","22.0","COMPUTED","","118.4","COMPUTED","1.7","COMPUTED","","6.9","COMPUTED","solar-ACT, 2m wind, Avg.","135.5","COMPUTED"
"Vauxhall CDA CS","13-June-2018","11.3","ACTUAL","100.0","25.8","ACTUAL","100.0","18.5","AGGREGATED","100.0","37.2","AGGREGATED","100.0","27.3","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","21.2","AGGREGATED","100.0","28.5","COMPUTED","15.3","COMPUTED","","8.6","COMPUTED","","21.9","COMPUTED","","128.7","COMPUTED","0.0","COMPUTED","","7.1","COMPUTED","solar-ACT, 2m wind, Avg.","149.0","COMPUTED"
"Vauxhall CDA CS","14-June-2018","7.8","ACTUAL","100.0","20.4","ACTUAL","100.0","12.9","AGGREGATED","100.0","72.9","AGGREGATED","100.0","30.4","AGGREGATED","using element [Precip. Weighing]","3.1","AGGREGATED","using element [Precip. Weighing]","14.6","AGGREGATED","100.0","31.2","COMPUTED","14.9","COMPUTED","","8.3","COMPUTED","","21.5","COMPUTED","","138.6","COMPUTED","0.0","COMPUTED","","4.0","COMPUTED","solar-ACT, 2m wind, Avg.","158.1","COMPUTED"
"Vauxhall CDA CS","15-June-2018","7.2","ACTUAL","100.0","19.7","ACTUAL","100.0","13.2","AGGREGATED","100.0","82.9","AGGREGATED","100.0","33.0","AGGREGATED","using element [Precip. Weighing]","2.6","AGGREGATED","using element [Precip. Weighing]","7.5","AGGREGATED","100.0","33.8","COMPUTED","15.2","COMPUTED","","8.4","COMPUTED","","21.9","COMPUTED","","148.8","COMPUTED","0.0","COMPUTED","","3.4","COMPUTED","solar-ACT, 2m wind, Avg.","166.6","COMPUTED"
"Vauxhall CDA CS","16-June-2018","10.7","ACTUAL","100.0","18.0","ACTUAL","100.0","12.8","AGGREGATED","100.0","89.2","AGGREGATED","100.0","41.7","AGGREGATED","using element [Precip. Weighing]","8.7","AGGREGATED","using element [Precip. Weighing]","13.9","AGGREGATED","100.0","36.8","COMPUTED","15.7","COMPUTED","","8.9","COMPUTED","","22.4","COMPUTED","","159.5","COMPUTED","0.0","COMPUTED","","2.0","COMPUTED","solar-ACT, 2m wind, Avg.","175.9","COMPUTED"
"Vauxhall CDA CS","17-June-2018","10.6","ACTUAL","100.0","22.3","ACTUAL","100.0","16.2","AGGREGATED","100.0","71.0","AGGREGATED","100.0","42.0","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","5.5","AGGREGATED","100.0","39.8","COMPUTED","15.9","COMPUTED","","9.0","COMPUTED","","22.9","COMPUTED","","170.4","COMPUTED","0.0","COMPUTED","","4.5","COMPUTED","solar-ACT, 2m wind, Avg.","187.3","COMPUTED"
"Vauxhall CDA CS","18-June-2018","11.4","ACTUAL","100.0","19.4","ACTUAL","100.0","15.3","AGGREGATED","100.0","85.6","AGGREGATED","100.0","42.3","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","6.4","AGGREGATED","100.0","42.1","COMPUTED","15.9","COMPUTED","","9.0","COMPUTED","","22.7","COMPUTED","","181.3","COMPUTED","0.0","COMPUTED","","1.9","COMPUTED","solar-ACT, 2m wind, Avg.","197.8","COMPUTED"
