"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Barnwell AGDM","20-May-2018","7.0","ACTUAL","100.0","26.9","ACTUAL","100.0","16.6","AGGREGATED","100.0","51.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.2","AGGREGATED","100.0","20.1","AGGREGATED","100.0","196.3","AGGREGATED","100.0","22.0","COMPUTED",""
"Barnwell AGDM","21-May-2018","7.0","ACTUAL","100.0","26.7","ACTUAL","100.0","17.5","AGGREGATED","100.0","49.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","11.5","AGGREGATED","100.0","277.6","AGGREGATED","100.0","20.3","COMPUTED",""
"Barnwell AGDM","22-May-2018","6.9","ACTUAL","100.0","27.1","ACTUAL","100.0","18.2","AGGREGATED","100.0","50.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.6","AGGREGATED","100.0","8.1","AGGREGATED","100.0","94.5","AGGREGATED","100.0","16.9","COMPUTED",""
"Barnwell AGDM","23-May-2018","7.6","ACTUAL","100.0","28.2","ACTUAL","100.0","18.9","AGGREGATED","100.0","50.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.9","AGGREGATED","100.0","10.8","AGGREGATED","100.0","184.2","AGGREGATED","100.0","13.6","COMPUTED",""
"Barnwell AGDM","24-May-2018","9.4","ACTUAL","100.0","30.7","ACTUAL","100.0","20.4","AGGREGATED","100.0","48.4","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. Weighing]","1.0","AGGREGATED","using element [Precip. Weighing]","16.8","AGGREGATED","100.0","22.8","AGGREGATED","100.0","238.2","AGGREGATED","100.0","11.9","COMPUTED",""
"Barnwell AGDM","25-May-2018","10.0","ACTUAL","100.0","29.7","ACTUAL","100.0","21.3","AGGREGATED","100.0","44.8","AGGREGATED","100.0","1.1","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","10.7","AGGREGATED","100.0","14.1","AGGREGATED","100.0","248.9","AGGREGATED","100.0","6.8","COMPUTED",""
"Barnwell AGDM","26-May-2018","11.9","ACTUAL","100.0","24.9","ACTUAL","100.0","19.0","AGGREGATED","100.0","51.5","AGGREGATED","100.0","1.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.5","AGGREGATED","100.0","18.1","AGGREGATED","100.0","250.1","AGGREGATED","100.0","5.1","COMPUTED",""
"Barnwell AGDM","27-May-2018","11.1","ACTUAL","100.0","26.7","ACTUAL","100.0","19.2","AGGREGATED","100.0","49.2","AGGREGATED","100.0","1.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.3","AGGREGATED","100.0","15.4","AGGREGATED","100.0","262.9","AGGREGATED","100.0","3.4","COMPUTED",""
"Barnwell AGDM","28-May-2018","8.5","ACTUAL","100.0","31.6","ACTUAL","100.0","21.7","AGGREGATED","100.0","41.3","AGGREGATED","100.0","1.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.3","AGGREGATED","100.0","17.1","AGGREGATED","100.0","224.5","AGGREGATED","100.0","3.4","COMPUTED",""
"Barnwell AGDM","29-May-2018","11.4","ACTUAL","100.0","21.0","ACTUAL","100.0","16.7","AGGREGATED","100.0","45.9","AGGREGATED","100.0","1.9","AGGREGATED","using element [Precip. Weighing]","0.8","AGGREGATED","using element [Precip. Weighing]","14.6","AGGREGATED","100.0","18.8","AGGREGATED","100.0","351.6","AGGREGATED","100.0","3.4","COMPUTED",""
"Barnwell AGDM","30-May-2018","8.6","ACTUAL","100.0","22.8","ACTUAL","100.0","14.5","AGGREGATED","100.0","56.5","AGGREGATED","100.0","2.1","AGGREGATED","using element [Precip. Weighing]","0.2","AGGREGATED","using element [Precip. Weighing]","11.6","AGGREGATED","100.0","14.6","AGGREGATED","100.0","314.0","AGGREGATED","100.0","3.4","COMPUTED",""
"Barnwell AGDM","31-May-2018","7.5","ACTUAL","100.0","11.2","ACTUAL","100.0","8.6","AGGREGATED","100.0","92.2","AGGREGATED","100.0","10.0","AGGREGATED","using element [Precip. Weighing]","7.9","AGGREGATED","using element [Precip. Weighing]","14.1","AGGREGATED","100.0","18.4","AGGREGATED","100.0","39.7","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","01-June-2018","9.1","ACTUAL","100.0","15.4","ACTUAL","100.0","11.3","AGGREGATED","100.0","86.6","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","18.5","AGGREGATED","using element [Precip. Weighing]","10.8","AGGREGATED","100.0","13.5","AGGREGATED","100.0","1.4","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","02-June-2018","8.4","ACTUAL","100.0","22.9","ACTUAL","100.0","15.9","AGGREGATED","100.0","52.3","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.3","AGGREGATED","100.0","25.4","AGGREGATED","100.0","253.9","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","03-June-2018","6.2","ACTUAL","100.0","25.9","ACTUAL","100.0","16.9","AGGREGATED","100.0","55.6","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","100.0","13.5","AGGREGATED","100.0","197.3","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","04-June-2018","13.1","ACTUAL","100.0","25.7","ACTUAL","100.0","19.7","AGGREGATED","100.0","42.1","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.8","AGGREGATED","100.0","27.2","AGGREGATED","100.0","241.2","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","05-June-2018","3.9","ACTUAL","100.0","22.5","ACTUAL","100.0","14.4","AGGREGATED","100.0","52.0","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.2","AGGREGATED","100.0","13.6","AGGREGATED","100.0","225.3","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","06-June-2018","7.0","ACTUAL","100.0","25.9","ACTUAL","100.0","17.4","AGGREGATED","100.0","40.3","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.9","AGGREGATED","100.0","14.9","AGGREGATED","100.0","229.1","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","07-June-2018","6.3","ACTUAL","100.0","28.7","ACTUAL","100.0","18.9","AGGREGATED","100.0","51.0","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.8","AGGREGATED","100.0","9.6","AGGREGATED","100.0","196.8","AGGREGATED","100.0","1.7","COMPUTED",""
"Barnwell AGDM","08-June-2018","13.3","ACTUAL","100.0","28.9","ACTUAL","100.0","21.7","AGGREGATED","100.0","42.2","AGGREGATED","100.0","28.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.2","AGGREGATED","100.0","18.7","AGGREGATED","100.0","223.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","09-June-2018","9.1","ACTUAL","100.0","30.2","ACTUAL","100.0","17.6","AGGREGATED","100.0","66.0","AGGREGATED","100.0","32.3","AGGREGATED","using element [Precip. Weighing]","3.8","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","12.5","AGGREGATED","100.0","242.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","10-June-2018","9.6","ACTUAL","100.0","17.9","ACTUAL","100.0","13.5","AGGREGATED","100.0","54.0","AGGREGATED","100.0","34.7","AGGREGATED","using element [Precip. Weighing]","2.4","AGGREGATED","using element [Precip. Weighing]","27.7","AGGREGATED","100.0","38.6","AGGREGATED","100.0","240.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","11-June-2018","7.8","ACTUAL","100.0","18.9","ACTUAL","100.0","13.3","AGGREGATED","100.0","35.9","AGGREGATED","100.0","34.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","27.0","AGGREGATED","100.0","37.1","AGGREGATED","100.0","251.8","AGGREGATED","100.0","0.0","COMPUTED",""
