"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Barnwell AGDM","10-June-2020","9.6","ACTUAL","100.0","23.1","ACTUAL","100.0","16.6","AGGREGATED","100.0","49.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.0","AGGREGATED","100.0","20.4","AGGREGATED","100.0","261.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","11-June-2020","8.7","ACTUAL","100.0","24.3","ACTUAL","100.0","17.0","AGGREGATED","100.0","59.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","13.4","AGGREGATED","100.0","217.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","12-June-2020","8.7","ACTUAL","100.0","29.2","ACTUAL","100.0","19.9","AGGREGATED","100.0","70.5","AGGREGATED","100.0","1.7","AGGREGATED","using element [Precip. Weighing]","1.7","AGGREGATED","using element [Precip. Weighing]","7.4","AGGREGATED","100.0","10.7","AGGREGATED","100.0","148.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","13-June-2020","11.3","ACTUAL","100.0","24.9","ACTUAL","100.0","17.2","AGGREGATED","100.0","79.9","AGGREGATED","100.0","18.3","AGGREGATED","using element [Precip. Weighing]","16.6","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","100.0","15.6","AGGREGATED","100.0","299.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","14-June-2020","9.0","ACTUAL","100.0","19.0","ACTUAL","100.0","13.6","AGGREGATED","100.0","61.4","AGGREGATED","100.0","18.4","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","23.0","AGGREGATED","100.0","32.3","AGGREGATED","100.0","232.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","15-June-2020","9.1","ACTUAL","100.0","19.0","ACTUAL","100.0","14.3","AGGREGATED","100.0","48.3","AGGREGATED","100.0","18.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.1","AGGREGATED","100.0","34.9","AGGREGATED","100.0","234.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","16-June-2020","6.1","ACTUAL","100.0","20.5","ACTUAL","100.0","13.9","AGGREGATED","100.0","72.1","AGGREGATED","100.0","18.9","AGGREGATED","using element [Precip. Weighing]","0.5","AGGREGATED","using element [Precip. Weighing]","14.6","AGGREGATED","100.0","20.1","AGGREGATED","100.0","292.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","17-June-2020","8.6","ACTUAL","100.0","17.0","ACTUAL","100.0","12.6","AGGREGATED","100.0","90.8","AGGREGATED","100.0","24.9","AGGREGATED","using element [Precip. Weighing]","6.0","AGGREGATED","using element [Precip. Weighing]","17.9","AGGREGATED","100.0","24.6","AGGREGATED","100.0","314.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","18-June-2020","9.1","ACTUAL","100.0","17.5","ACTUAL","100.0","12.7","AGGREGATED","100.0","80.7","AGGREGATED","100.0","25.6","AGGREGATED","using element [Precip. Weighing]","0.7","AGGREGATED","using element [Precip. Weighing]","10.9","AGGREGATED","100.0","13.9","AGGREGATED","100.0","356.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Barnwell AGDM","19-June-2020","7.0","ACTUAL","100.0","21.9","ACTUAL","100.0","15.2","AGGREGATED","100.0","77.5","AGGREGATED","100.0","25.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.6","AGGREGATED","100.0","8.2","AGGREGATED","100.0","182.7","AGGREGATED","100.0","0.0","COMPUTED",""
