"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Bow Island","20-May-2018","7.4","ACTUAL","100.0","26.8","ACTUAL","100.0","16.7","AGGREGATED","100.0","52.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.5","AGGREGATED","100.0","17.6","AGGREGATED","100.0","190.0","AGGREGATED","100.0","23.7","COMPUTED",""
"Bow Island","21-May-2018","9.5","ACTUAL","100.0","26.2","ACTUAL","100.0","18.4","AGGREGATED","100.0","47.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.4","AGGREGATED","100.0","11.3","AGGREGATED","100.0","298.7","AGGREGATED","100.0","23.7","COMPUTED",""
"Bow Island","22-May-2018","7.8","ACTUAL","100.0","27.6","ACTUAL","100.0","19.0","AGGREGATED","100.0","46.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.0","AGGREGATED","100.0","7.0","AGGREGATED","100.0","17.9","AGGREGATED","100.0","16.9","COMPUTED",""
"Bow Island","23-May-2018","8.3","ACTUAL","100.0","28.8","ACTUAL","100.0","19.2","AGGREGATED","100.0","49.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.5","AGGREGATED","100.0","10.2","AGGREGATED","100.0","149.6","AGGREGATED","100.0","11.9","COMPUTED",""
"Bow Island","24-May-2018","9.8","ACTUAL","100.0","29.9","ACTUAL","100.0","20.9","AGGREGATED","100.0","49.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","100.0","17.1","AGGREGATED","100.0","234.8","AGGREGATED","100.0","10.2","COMPUTED",""
"Bow Island","25-May-2018","12.6","ACTUAL","100.0","30.2","ACTUAL","100.0","21.6","AGGREGATED","100.0","46.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.8","AGGREGATED","100.0","8.7","AGGREGATED","100.0","277.3","AGGREGATED","100.0","6.8","COMPUTED",""
"Bow Island","26-May-2018","13.7","ACTUAL","100.0","24.2","ACTUAL","100.0","19.5","AGGREGATED","100.0","52.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","AGGREGATED","100.0","11.6","AGGREGATED","100.0","259.4","AGGREGATED","100.0","6.8","COMPUTED",""
"Bow Island","27-May-2018","11.2","ACTUAL","100.0","27.6","ACTUAL","100.0","19.0","AGGREGATED","100.0","53.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.8","AGGREGATED","100.0","10.5","AGGREGATED","100.0","259.5","AGGREGATED","100.0","6.8","COMPUTED",""
"Bow Island","28-May-2018","10.6","ACTUAL","100.0","31.4","ACTUAL","100.0","21.9","AGGREGATED","100.0","44.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.0","AGGREGATED","100.0","14.4","AGGREGATED","100.0","179.4","AGGREGATED","100.0","5.1","COMPUTED",""
"Bow Island","29-May-2018","13.6","ACTUAL","100.0","22.6","ACTUAL","100.0","18.2","AGGREGATED","100.0","44.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.0","AGGREGATED","100.0","15.0","AGGREGATED","100.0","338.1","AGGREGATED","100.0","5.1","COMPUTED",""
