"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Bow Island","24-May-2020","3.9","COMPUTED","0.0","21.2","COMPUTED","0.0","13.2","AGGREGATED","0.0","62.7","AGGREGATED","0.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.3","AGGREGATED","0.0","7.7","AGGREGATED","0.0","","UNAVAILBLE","0.0","10.2","COMPUTED",""
"Bow Island","25-May-2020","7.0","COMPUTED","0.0","23.1","COMPUTED","0.0","16.0","AGGREGATED","0.0","54.5","AGGREGATED","0.0","0.4","AGGREGATED","using element [Precip. Weighing]","0.4","AGGREGATED","using element [Precip. Weighing]","13.4","AGGREGATED","0.0","16.6","AGGREGATED","0.0","","UNAVAILBLE","0.0","6.8","COMPUTED",""
"Bow Island","26-May-2020","9.3","COMPUTED","0.0","22.7","COMPUTED","0.0","14.8","AGGREGATED","0.0","64.3","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","2.2","AGGREGATED","using element [Precip. Weighing]","14.7","AGGREGATED","0.0","18.0","AGGREGATED","0.0","","UNAVAILBLE","0.0","6.8","COMPUTED",""
"Bow Island","27-May-2020","6.9","COMPUTED","0.0","18.0","COMPUTED","0.0","12.6","AGGREGATED","0.0","55.5","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.0","AGGREGATED","0.0","12.1","AGGREGATED","0.0","","UNAVAILBLE","0.0","6.8","COMPUTED",""
"Bow Island","28-May-2020","4.1","COMPUTED","0.0","21.8","COMPUTED","0.0","14.4","AGGREGATED","0.0","49.1","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","0.0","12.4","AGGREGATED","0.0","","UNAVAILBLE","0.0","5.1","COMPUTED",""
"Bow Island","29-May-2020","13.5","COMPUTED","0.0","26.2","COMPUTED","0.0","19.1","AGGREGATED","0.0","40.9","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.7","AGGREGATED","0.0","17.2","AGGREGATED","0.0","","UNAVAILBLE","0.0","5.1","COMPUTED",""
"Bow Island","30-May-2020","12.5","COMPUTED","0.0","27.7","COMPUTED","0.0","20.5","AGGREGATED","0.0","45.5","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","22.3","AGGREGATED","0.0","28.7","AGGREGATED","0.0","","UNAVAILBLE","0.0","3.4","COMPUTED",""
"Bow Island","31-May-2020","13.4","COMPUTED","0.0","25.6","COMPUTED","0.0","19.5","AGGREGATED","0.0","52.4","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.1","AGGREGATED","0.0","31.8","AGGREGATED","0.0","","UNAVAILBLE","0.0","1.7","COMPUTED",""
"Bow Island","01-June-2020","9.8","COMPUTED","0.0","22.5","COMPUTED","0.0","16.3","AGGREGATED","0.0","43.8","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.7","AGGREGATED","0.0","16.8","AGGREGATED","0.0","","UNAVAILBLE","0.0","1.7","COMPUTED",""
"Bow Island","02-June-2020","6.6","COMPUTED","0.0","24.1","COMPUTED","0.0","16.7","AGGREGATED","0.0","44.8","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.4","AGGREGATED","0.0","16.8","AGGREGATED","0.0","","UNAVAILBLE","0.0","1.7","COMPUTED",""
"Bow Island","03-June-2020","10.3","COMPUTED","0.0","22.0","COMPUTED","0.0","16.1","AGGREGATED","0.0","42.4","AGGREGATED","0.0","2.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.2","AGGREGATED","0.0","13.8","AGGREGATED","0.0","","UNAVAILBLE","0.0","1.7","COMPUTED",""
"Bow Island","04-June-2020","8.5","COMPUTED","20.8","19.5","COMPUTED","20.8","14.0","AGGREGATED","20.8","49.7","AGGREGATED","0.0","3.6","AGGREGATED","using element [Precip. Weighing]","1.0","AGGREGATED","using element [Precip. Weighing]","7.0","AGGREGATED","0.0","8.2","AGGREGATED","25.0","346.7","AGGREGATED","25.0","1.7","COMPUTED",""
"Bow Island","05-June-2020","4.9","ACTUAL","100.0","24.1","ACTUAL","100.0","15.8","AGGREGATED","100.0","56.7","AGGREGATED","0.0","3.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.1","AGGREGATED","0.0","11.7","AGGREGATED","100.0","129.9","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","06-June-2020","11.3","ACTUAL","100.0","20.3","ACTUAL","100.0","15.8","AGGREGATED","100.0","71.5","AGGREGATED","0.0","21.0","AGGREGATED","using element [Precip. Weighing]","17.4","AGGREGATED","using element [Precip. Weighing]","10.9","AGGREGATED","0.0","14.8","AGGREGATED","100.0","328.3","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","07-June-2020","7.4","ACTUAL","100.0","14.2","ACTUAL","100.0","11.7","AGGREGATED","100.0","84.9","AGGREGATED","0.0","32.1","AGGREGATED","using element [Precip. Weighing]","11.1","AGGREGATED","using element [Precip. Weighing]","17.3","AGGREGATED","0.0","25.4","AGGREGATED","100.0","294.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","08-June-2020","6.9","ACTUAL","100.0","15.8","ACTUAL","100.0","10.5","AGGREGATED","100.0","80.0","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","1.8","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","0.0","8.6","AGGREGATED","100.0","237.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","09-June-2020","6.9","ACTUAL","100.0","19.4","ACTUAL","100.0","13.2","AGGREGATED","100.0","54.5","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.7","AGGREGATED","0.0","19.3","AGGREGATED","100.0","266.9","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","10-June-2020","8.9","ACTUAL","100.0","22.5","ACTUAL","100.0","16.3","AGGREGATED","100.0","49.9","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.6","AGGREGATED","0.0","15.2","AGGREGATED","100.0","282.1","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","11-June-2020","9.4","ACTUAL","100.0","24.8","ACTUAL","100.0","17.8","AGGREGATED","100.0","50.9","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.7","AGGREGATED","0.0","11.0","AGGREGATED","100.0","238.1","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","12-June-2020","12.9","ACTUAL","100.0","29.8","ACTUAL","100.0","21.5","AGGREGATED","100.0","48.4","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.1","AGGREGATED","0.0","18.6","AGGREGATED","100.0","156.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Bow Island","13-June-2020","13.1","ACTUAL","100.0","26.2","ACTUAL","100.0","19.0","AGGREGATED","100.0","66.4","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.2","AGGREGATED","0.0","12.5","AGGREGATED","100.0","8.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","14-June-2020","9.4","ACTUAL","100.0","20.8","ACTUAL","100.0","15.0","AGGREGATED","100.0","49.6","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.7","AGGREGATED","0.0","14.1","AGGREGATED","100.0","235.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","15-June-2020","8.9","ACTUAL","100.0","20.4","ACTUAL","100.0","15.0","AGGREGATED","100.0","42.5","AGGREGATED","0.0","33.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","21.1","AGGREGATED","0.0","19.6","AGGREGATED","100.0","244.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","16-June-2020","7.0","ACTUAL","100.0","21.1","ACTUAL","100.0","14.2","AGGREGATED","100.0","62.5","AGGREGATED","0.0","36.4","AGGREGATED","using element [Precip. Weighing]","2.5","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","0.0","10.7","AGGREGATED","100.0","303.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","17-June-2020","10.9","ACTUAL","100.0","15.6","ACTUAL","100.0","12.8","AGGREGATED","100.0","85.1","AGGREGATED","0.0","46.9","AGGREGATED","using element [Precip. Weighing]","10.5","AGGREGATED","using element [Precip. Weighing]","12.4","AGGREGATED","0.0","13.1","AGGREGATED","100.0","327.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","18-June-2020","8.7","ACTUAL","100.0","16.1","ACTUAL","100.0","11.9","AGGREGATED","100.0","73.4","AGGREGATED","0.0","51.0","AGGREGATED","using element [Precip. Weighing]","4.1","AGGREGATED","using element [Precip. Weighing]","11.8","AGGREGATED","0.0","12.2","AGGREGATED","100.0","4.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","19-June-2020","5.9","ACTUAL","100.0","21.6","ACTUAL","100.0","14.5","AGGREGATED","100.0","66.0","AGGREGATED","0.0","51.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.9","AGGREGATED","0.0","7.3","AGGREGATED","100.0","132.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Bow Island","20-June-2020","8.7","ACTUAL","100.0","25.9","ACTUAL","100.0","17.9","AGGREGATED","100.0","64.4","AGGREGATED","0.0","51.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.5","AGGREGATED","0.0","8.4","AGGREGATED","100.0","213.2","AGGREGATED","100.0","0.0","COMPUTED",""
