"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Bow Island North IMCIN","20-May-2018","7.1","ACTUAL","100.0","26.8","ACTUAL","100.0","17.0","AGGREGATED","100.0","49.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","100.0","16.3","AGGREGATED","100.0","178.5","AGGREGATED","100.0","22.0","COMPUTED",""
"Bow Island North IMCIN","21-May-2018","8.1","ACTUAL","100.0","26.9","ACTUAL","100.0","18.8","AGGREGATED","100.0","44.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.1","AGGREGATED","100.0","8.0","AGGREGATED","100.0","283.2","AGGREGATED","100.0","22.0","COMPUTED",""
"Bow Island North IMCIN","22-May-2018","6.7","ACTUAL","100.0","27.9","ACTUAL","100.0","19.0","AGGREGATED","100.0","43.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.3","AGGREGATED","100.0","5.8","AGGREGATED","95.8","10.1","AGGREGATED","100.0","16.9","COMPUTED",""
"Bow Island North IMCIN","23-May-2018","9.7","ACTUAL","100.0","29.1","ACTUAL","100.0","20.1","AGGREGATED","100.0","43.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.6","AGGREGATED","100.0","8.5","AGGREGATED","100.0","141.2","AGGREGATED","100.0","10.2","COMPUTED",""
"Bow Island North IMCIN","24-May-2018","11.4","ACTUAL","100.0","31.0","ACTUAL","100.0","21.7","AGGREGATED","100.0","45.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.4","AGGREGATED","100.0","14.2","AGGREGATED","100.0","218.1","AGGREGATED","100.0","8.5","COMPUTED",""
"Bow Island North IMCIN","25-May-2018","12.3","ACTUAL","100.0","30.0","ACTUAL","100.0","21.9","AGGREGATED","100.0","43.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.8","AGGREGATED","100.0","6.4","AGGREGATED","100.0","224.9","AGGREGATED","100.0","5.1","COMPUTED",""
"Bow Island North IMCIN","26-May-2018","12.9","ACTUAL","100.0","25.0","ACTUAL","100.0","20.1","AGGREGATED","100.0","47.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","AGGREGATED","100.0","10.0","AGGREGATED","100.0","256.2","AGGREGATED","100.0","5.1","COMPUTED",""
"Bow Island North IMCIN","27-May-2018","10.4","ACTUAL","100.0","27.9","ACTUAL","100.0","19.2","AGGREGATED","100.0","52.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.1","AGGREGATED","100.0","7.3","AGGREGATED","100.0","229.1","AGGREGATED","100.0","5.1","COMPUTED",""
"Bow Island North IMCIN","28-May-2018","12.2","ACTUAL","100.0","31.9","ACTUAL","100.0","22.7","AGGREGATED","100.0","41.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.3","AGGREGATED","100.0","13.9","AGGREGATED","100.0","170.7","AGGREGATED","100.0","3.4","COMPUTED",""
"Bow Island North IMCIN","29-May-2018","13.4","ACTUAL","100.0","22.4","ACTUAL","100.0","18.2","AGGREGATED","100.0","42.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.1","AGGREGATED","100.0","14.1","AGGREGATED","100.0","330.1","AGGREGATED","100.0","3.4","COMPUTED",""
