"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Barnwell AGDM","01-June-2018","9.1","ACTUAL","100.0","15.4","ACTUAL","100.0","11.3","AGGREGATED","100.0","86.6","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","18.5","AGGREGATED","using element [Precip. Weighing]","13.5","AGGREGATED","100.0","1.3","COMPUTED","14.4","COMPUTED","","7.1","COMPUTED","","21.6","COMPUTED","","9.4","COMPUTED","1.7","COMPUTED","","2.0","COMPUTED","solar-ACT, 2m wind, Avg.","7.2","COMPUTED"
"Barnwell AGDM","02-June-2018","8.4","ACTUAL","100.0","22.9","ACTUAL","100.0","15.9","AGGREGATED","100.0","52.3","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.4","AGGREGATED","100.0","5.1","COMPUTED","14.8","COMPUTED","","7.8","COMPUTED","","21.7","COMPUTED","","19.2","COMPUTED","1.7","COMPUTED","","6.4","COMPUTED","solar-ACT, 2m wind, Avg.","17.9","COMPUTED"
"Barnwell AGDM","03-June-2018","6.2","ACTUAL","100.0","25.9","ACTUAL","100.0","16.9","AGGREGATED","100.0","55.6","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.5","AGGREGATED","100.0","7.5","COMPUTED","14.7","COMPUTED","","7.8","COMPUTED","","21.6","COMPUTED","","28.9","COMPUTED","1.7","COMPUTED","","6.0","COMPUTED","solar-ACT, 2m wind, Avg.","29.0","COMPUTED"
"Barnwell AGDM","04-June-2018","13.1","ACTUAL","100.0","25.7","ACTUAL","100.0","19.7","AGGREGATED","100.0","42.1","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","27.2","AGGREGATED","100.0","8.6","COMPUTED","15.2","COMPUTED","","8.0","COMPUTED","","22.4","COMPUTED","","39.1","COMPUTED","1.7","COMPUTED","","7.4","COMPUTED","solar-ACT, 2m wind, Avg.","43.4","COMPUTED"
"Barnwell AGDM","05-June-2018","3.9","ACTUAL","100.0","22.5","ACTUAL","100.0","14.4","AGGREGATED","100.0","52.0","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.6","AGGREGATED","100.0","11.4","COMPUTED","15.3","COMPUTED","","8.4","COMPUTED","","22.3","COMPUTED","","49.4","COMPUTED","1.7","COMPUTED","","5.5","COMPUTED","solar-ACT, 2m wind, Avg.","51.6","COMPUTED"
"Barnwell AGDM","06-June-2018","7.0","ACTUAL","100.0","25.9","ACTUAL","100.0","17.4","AGGREGATED","100.0","40.3","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.9","AGGREGATED","100.0","15.1","COMPUTED","14.5","COMPUTED","","8.0","COMPUTED","","20.9","COMPUTED","","58.9","COMPUTED","1.7","COMPUTED","","6.6","COMPUTED","solar-ACT, 2m wind, Avg.","63.0","COMPUTED"
"Barnwell AGDM","07-June-2018","6.3","ACTUAL","100.0","28.7","ACTUAL","100.0","18.9","AGGREGATED","100.0","51.0","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.6","AGGREGATED","100.0","17.4","COMPUTED","14.6","COMPUTED","","8.0","COMPUTED","","21.1","COMPUTED","","68.5","COMPUTED","1.7","COMPUTED","","6.3","COMPUTED","solar-ACT, 2m wind, Avg.","75.5","COMPUTED"
"Barnwell AGDM","08-June-2018","13.3","ACTUAL","100.0","28.9","ACTUAL","100.0","21.7","AGGREGATED","100.0","42.2","AGGREGATED","100.0","18.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.7","AGGREGATED","100.0","20.3","COMPUTED","14.8","COMPUTED","","8.1","COMPUTED","","21.5","COMPUTED","","78.3","COMPUTED","0.0","COMPUTED","","7.4","COMPUTED","solar-ACT, 2m wind, Avg.","91.6","COMPUTED"
"Barnwell AGDM","09-June-2018","9.1","ACTUAL","100.0","30.2","ACTUAL","100.0","17.6","AGGREGATED","100.0","66.0","AGGREGATED","100.0","22.3","AGGREGATED","using element [Precip. Weighing]","3.8","AGGREGATED","using element [Precip. Weighing]","12.5","AGGREGATED","100.0","22.7","COMPUTED","14.8","COMPUTED","","8.0","COMPUTED","","21.5","COMPUTED","","88.1","COMPUTED","0.0","COMPUTED","","5.0","COMPUTED","solar-ACT, 2m wind, Avg.","106.3","COMPUTED"
"Barnwell AGDM","10-June-2018","9.6","ACTUAL","100.0","17.9","ACTUAL","100.0","13.5","AGGREGATED","100.0","54.0","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","2.4","AGGREGATED","using element [Precip. Weighing]","38.6","AGGREGATED","100.0","25.4","COMPUTED","14.6","COMPUTED","","7.9","COMPUTED","","21.2","COMPUTED","","97.7","COMPUTED","0.0","COMPUTED","","5.6","COMPUTED","solar-ACT, 2m wind, Avg.","115.0","COMPUTED"
"Barnwell AGDM","11-June-2018","7.8","ACTUAL","100.0","18.9","ACTUAL","100.0","13.3","AGGREGATED","100.0","35.9","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","37.1","AGGREGATED","100.0","28.5","COMPUTED","14.8","COMPUTED","","8.2","COMPUTED","","21.5","COMPUTED","","107.5","COMPUTED","0.0","COMPUTED","","6.7","COMPUTED","solar-ACT, 2m wind, Avg.","123.3","COMPUTED"
"Barnwell AGDM","12-June-2018","8.5","ACTUAL","100.0","23.1","ACTUAL","100.0","15.7","AGGREGATED","100.0","32.6","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","28.8","AGGREGATED","100.0","31.1","COMPUTED","14.8","COMPUTED","","7.9","COMPUTED","","21.7","COMPUTED","","117.3","COMPUTED","0.0","COMPUTED","","7.7","COMPUTED","solar-ACT, 2m wind, Avg.","134.1","COMPUTED"
"Barnwell AGDM","13-June-2018","7.7","ACTUAL","100.0","26.5","ACTUAL","100.0","17.9","AGGREGATED","100.0","38.4","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","22.6","AGGREGATED","100.0","33.3","COMPUTED","15.2","COMPUTED","","8.7","COMPUTED","","21.8","COMPUTED","","127.5","COMPUTED","0.0","COMPUTED","","7.3","COMPUTED","solar-ACT, 2m wind, Avg.","146.2","COMPUTED"
"Barnwell AGDM","14-June-2018","4.6","ACTUAL","100.0","22.0","ACTUAL","100.0","13.1","AGGREGATED","100.0","65.9","AGGREGATED","100.0","25.9","AGGREGATED","using element [Precip. Weighing]","1.2","AGGREGATED","using element [Precip. Weighing]","19.1","AGGREGATED","100.0","36.5","COMPUTED","14.9","COMPUTED","","8.3","COMPUTED","","21.5","COMPUTED","","137.4","COMPUTED","0.0","COMPUTED","","4.8","COMPUTED","solar-ACT, 2m wind, Avg.","154.5","COMPUTED"
"Barnwell AGDM","15-June-2018","7.2","ACTUAL","100.0","22.0","ACTUAL","100.0","13.2","AGGREGATED","100.0","77.8","AGGREGATED","100.0","33.1","AGGREGATED","using element [Precip. Weighing]","7.2","AGGREGATED","using element [Precip. Weighing]","11.1","AGGREGATED","100.0","40.5","COMPUTED","15.1","COMPUTED","","8.4","COMPUTED","","21.8","COMPUTED","","147.5","COMPUTED","0.0","COMPUTED","","3.9","COMPUTED","solar-ACT, 2m wind, Avg.","164.1","COMPUTED"
"Barnwell AGDM","16-June-2018","11.2","ACTUAL","100.0","18.1","ACTUAL","100.0","12.5","AGGREGATED","100.0","89.3","AGGREGATED","100.0","42.9","AGGREGATED","using element [Precip. Weighing]","9.8","AGGREGATED","using element [Precip. Weighing]","16.5","AGGREGATED","100.0","42.7","COMPUTED","15.6","COMPUTED","","9.0","COMPUTED","","22.2","COMPUTED","","158.1","COMPUTED","0.0","COMPUTED","","1.7","COMPUTED","solar-ACT, 2m wind, Avg.","173.8","COMPUTED"
