,Station Name,Date (Local Standard Time),Air Temp. Min. (�C),Air Temp. Max. (�C),Air Temp. Avg. (�C),Humidity Avg. (%),Precip. (mm),Wind Speed 10 m Avg. (km/h),Frost Probability 0�C (%)
0,Barnwell AGDM,01-June-2018,9.1,15.4,11.3,86.6,18.5,13.5,1.7
1,Barnwell AGDM,02-June-2018,8.4,22.9,15.9,52.3,0.0,25.4,1.7
2,Barnwell AGDM,03-June-2018,6.2,25.9,16.9,55.6,0.0,13.5,1.7
3,Barnwell AGDM,04-June-2018,13.1,25.7,19.7,42.1,0.0,27.2,1.7
4,Barnwell AGDM,05-June-2018,3.9,22.5,14.4,52.0,0.0,13.6,1.7
5,Barnwell AGDM,06-June-2018,7.0,25.9,17.4,40.3,0.0,14.9,1.7
6,Barnwell AGDM,07-June-2018,6.3,28.7,18.9,51.0,0.0,9.6,1.7
7,Barnwell AGDM,08-June-2018,13.3,28.9,21.7,42.2,0.0,18.7,0.0
8,Barnwell AGDM,09-June-2018,9.1,30.2,17.6,66.0,3.8,12.5,0.0
9,Barnwell AGDM,10-June-2018,9.6,17.9,13.5,54.0,2.4,38.6,0.0
10,Barnwell AGDM,11-June-2018,7.8,18.9,13.3,35.9,0.0,37.1,0.0
11,Barnwell AGDM,12-June-2018,8.5,23.1,15.7,32.6,0.0,28.8,0.0
12,Barnwell AGDM,13-June-2018,7.7,26.5,17.9,38.4,0.0,22.6,0.0
13,Barnwell AGDM,14-June-2018,4.6,22.0,13.1,65.9,1.2,19.1,0.0
14,Barnwell AGDM,15-June-2018,7.2,22.0,13.2,77.8,7.2,11.1,0.0
15,Barnwell AGDM,16-June-2018,11.2,18.1,12.5,89.3,9.8,16.5,0.0
16,Barnwell AGDM,17-June-2018,7.7,21.8,15.8,67.1,0.0,7.8,0.0
17,Barnwell AGDM,18-June-2018,12.2,18.3,15.0,84.4,2.5,8.2,0.0
18,Barnwell AGDM,19-June-2018,12.1,23.1,17.2,72.0,0.0,9.4,0.0
19,Barnwell AGDM,20-June-2018,8.8,24.9,17.8,71.8,0.0,14.2,0.0
20,Barnwell AGDM,21-June-2018,13.7,29.2,20.6,64.3,0.0,14.0,0.0
21,Barnwell AGDM,22-June-2018,12.2,27.4,19.7,62.3,0.0,20.1,0.0
22,Barnwell AGDM,23-June-2018,12.0,22.2,17.2,80.3,1.1,15.7,0.0
23,Barnwell AGDM,24-June-2018,12.4,27.1,20.2,73.2,0.0,9.3,0.0
24,Barnwell AGDM,25-June-2018,12.9,30.0,21.5,57.3,0.0,20.4,0.0
25,Barnwell AGDM,26-June-2018,8.3,22.9,17.2,36.4,0.0,30.7,0.0
26,Barnwell AGDM,27-June-2018,4.9,24.8,16.1,51.4,0.0,18.2,0.0
27,Barnwell AGDM,28-June-2018,8.9,21.7,16.1,57.7,0.0,13.3,0.0
28,Barnwell AGDM,29-June-2018,7.3,22.4,15.5,64.8,0.0,15.0,0.0
29,Barnwell AGDM,30-June-2018,7.1,24.4,16.3,60.9,0.0,22.2,0.0
30,Barnwell AGDM,01-July-2018,10.3,24.1,16.9,54.6,0.0,16.8,0.0
31,Barnwell AGDM,02-July-2018,5.6,16.9,11.9,78.0,10.6,10.8,0.0
32,Barnwell AGDM,03-July-2018,6.8,18.4,12.0,79.9,0.9,13.5,0.0
33,Barnwell AGDM,04-July-2018,9.2,21.5,15.4,72.4,1.3,13.2,0.0
34,Barnwell AGDM,05-July-2018,9.6,28.3,19.4,64.6,0.0,13.3,0.0
35,Barnwell AGDM,06-July-2018,12.0,34.0,22.9,60.2,0.0,15.6,0.0
36,Barnwell AGDM,07-July-2018,12.2,27.8,21.4,39.9,0.0,25.7,0.0
37,Barnwell AGDM,08-July-2018,7.8,26.6,18.0,56.8,0.0,9.5,0.0
38,Barnwell AGDM,09-July-2018,7.7,32.5,20.4,54.4,0.0,9.7,0.0
39,Barnwell AGDM,10-July-2018,10.3,27.2,18.8,67.1,0.3,14.8,0.0
40,Barnwell AGDM,11-July-2018,10.6,27.0,20.0,57.5,0.0,14.9,0.0
41,Barnwell AGDM,12-July-2018,8.3,30.1,20.3,59.0,0.0,11.2,0.0
42,Barnwell AGDM,13-July-2018,11.6,32.5,23.0,52.8,0.0,17.7,0.0
43,Barnwell AGDM,14-July-2018,10.5,22.1,15.9,63.2,0.0,18.2,0.0
44,Barnwell AGDM,15-July-2018,6.3,29.2,18.5,52.8,0.0,10.3,0.0
45,Barnwell AGDM,16-July-2018,6.5,31.9,20.0,57.0,0.0,6.6,0.0
46,Barnwell AGDM,17-July-2018,9.2,35.1,22.0,55.2,0.0,8.8,0.0
47,Barnwell AGDM,18-July-2018,15.1,30.1,22.0,55.8,1.2,18.5,0.0
48,Barnwell AGDM,19-July-2018,12.3,30.6,21.2,60.9,0.7,11.2,0.0
49,Barnwell AGDM,20-July-2018,10.9,31.3,21.6,51.3,0.0,13.5,0.0
50,Barnwell AGDM,21-July-2018,6.4,29.1,18.0,53.8,0.0,12.6,0.0
51,Barnwell AGDM,22-July-2018,6.0,25.3,16.5,56.1,0.1,15.9,0.0
52,Barnwell AGDM,23-July-2018,6.0,28.9,18.1,59.3,1.8,15.7,0.0
53,Barnwell AGDM,24-July-2018,12.3,22.9,16.5,79.4,1.8,11.1,0.0
54,Barnwell AGDM,25-July-2018,10.9,23.8,16.8,72.4,0.0,7.3,0.0
55,Barnwell AGDM,26-July-2018,8.7,26.1,17.5,67.1,1.7,7.9,0.0
56,Barnwell AGDM,27-July-2018,6.9,25.9,16.9,68.5,0.1,7.6,0.0
57,Barnwell AGDM,28-July-2018,9.4,26.9,19.0,63.7,0.0,7.2,0.0
58,Barnwell AGDM,29-July-2018,8.6,29.7,19.2,61.3,0.0,10.1,0.0
59,Barnwell AGDM,30-July-2018,8.6,34.5,22.2,52.0,0.0,12.6,0.0
60,Barnwell AGDM,31-July-2018,14.0,29.0,21.6,62.2,0.0,11.7,0.0
61,Barnwell AGDM,01-August-2018,12.8,33.7,22.2,60.6,0.0,9.1,0.0
62,Barnwell AGDM,02-August-2018,12.4,32.7,21.9,52.6,0.0,12.1,0.0
63,Barnwell AGDM,03-August-2018,9.0,29.6,19.2,53.1,0.0,18.6,0.0
64,Barnwell AGDM,04-August-2018,9.6,25.4,17.3,61.1,0.0,19.3,0.0
65,Barnwell AGDM,05-August-2018,11.3,24.5,17.2,72.9,0.1,12.4,0.0
66,Barnwell AGDM,06-August-2018,8.6,32.0,20.4,56.4,0.0,10.7,0.0
67,Barnwell AGDM,07-August-2018,9.7,32.9,21.5,50.4,0.0,12.5,0.0
68,Barnwell AGDM,08-August-2018,9.5,32.8,20.4,55.3,0.0,7.7,0.0
69,Barnwell AGDM,09-August-2018,11.0,36.3,23.0,48.8,0.0,11.5,0.0
70,Barnwell AGDM,10-August-2018,14.3,40.8,26.7,38.4,0.0,11.9,0.0
71,Barnwell AGDM,11-August-2018,12.7,27.6,21.2,50.7,0.0,17.9,0.0
72,Barnwell AGDM,12-August-2018,11.1,27.5,18.0,62.5,0.1,18.4,0.0
73,Barnwell AGDM,13-August-2018,8.6,21.9,14.7,62.4,0.1,9.5,0.0
74,Barnwell AGDM,14-August-2018,6.6,30.2,18.5,52.2,0.0,9.8,0.0
75,Barnwell AGDM,15-August-2018,12.3,30.6,20.2,47.5,0.0,11.7,0.0
76,Barnwell AGDM,16-August-2018,8.3,30.4,18.5,61.6,0.0,8.5,0.0
77,Barnwell AGDM,17-August-2018,10.7,33.4,22.2,45.9,0.0,12.3,0.0
78,Barnwell AGDM,18-August-2018,7.4,25.8,18.4,45.8,0.0,20.7,0.0
79,Barnwell AGDM,19-August-2018,3.6,22.6,13.6,58.5,0.0,10.5,0.0
80,Barnwell AGDM,20-August-2018,9.4,23.3,16.7,43.1,0.0,9.4,0.0
81,Barnwell AGDM,21-August-2018,4.1,26.1,15.6,52.2,0.0,13.9,0.0
82,Barnwell AGDM,22-August-2018,5.7,33.2,20.3,42.9,0.0,8.7,1.7
83,Barnwell AGDM,23-August-2018,6.3,32.0,19.1,44.0,0.0,11.0,1.7
84,Barnwell AGDM,24-August-2018,9.5,21.3,14.7,70.3,0.3,19.5,1.7
85,Barnwell AGDM,25-August-2018,4.9,23.0,14.0,66.8,0.1,9.0,1.7
86,Barnwell AGDM,26-August-2018,8.8,22.3,15.3,57.4,1.1,13.0,1.7
87,Barnwell AGDM,27-August-2018,2.7,11.6,8.6,85.1,26.1,29.0,1.7
88,Barnwell AGDM,28-August-2018,2.1,23.3,13.0,62.5,0.0,11.5,1.7
89,Barnwell AGDM,29-August-2018,8.3,24.8,16.5,57.6,0.0,19.1,1.7
90,Barnwell AGDM,30-August-2018,9.4,24.2,15.7,57.9,0.0,9.8,1.7
91,Barnwell AGDM,31-August-2018,6.0,23.8,14.1,59.7,0.0,14.3,1.7
92,Barnwell AGDM,01-September-2018,7.3,18.6,14.2,50.5,0.0,19.0,1.7
93,Barnwell AGDM,02-September-2018,4.8,23.3,13.4,55.6,0.0,12.5,1.7
94,Barnwell AGDM,03-September-2018,4.4,16.5,11.9,63.6,0.0,19.6,3.4
95,Barnwell AGDM,04-September-2018,2.4,16.3,9.2,69.8,0.0,8.2,3.4
96,Barnwell AGDM,05-September-2018,-1.2,24.1,11.7,60.9,0.0,8.5,5.1
97,Barnwell AGDM,06-September-2018,2.8,27.3,14.5,60.9,0.0,10.2,6.8
98,Barnwell AGDM,07-September-2018,7.7,30.9,18.4,56.9,0.0,10.5,10.2
99,Barnwell AGDM,08-September-2018,10.3,27.0,19.0,44.6,0.0,23.0,10.2
100,Barnwell AGDM,09-September-2018,10.0,21.9,15.2,72.4,1.8,9.1,10.2
101,Barnwell AGDM,10-September-2018,5.2,24.3,13.4,69.1,0.1,17.0,13.6
102,Barnwell AGDM,11-September-2018,4.8,19.2,11.2,73.6,0.0,7.5,20.3
103,Barnwell AGDM,12-September-2018,3.6,17.6,9.6,75.1,0.6,15.9,22.0
104,Barnwell AGDM,13-September-2018,1.2,7.4,3.8,80.0,0.0,8.8,28.8
105,Barnwell AGDM,14-September-2018,2.3,12.9,6.0,68.7,0.0,13.0,30.5
106,Barnwell AGDM,15-September-2018,1.6,12.0,6.8,89.1,0.1,11.5,30.5
107,Barnwell AGDM,16-September-2018,5.0,13.1,7.1,91.4,4.4,10.3,33.9
108,Barnwell AGDM,17-September-2018,4.3,16.4,9.5,79.7,0.0,10.0,37.3
109,Barnwell AGDM,18-September-2018,2.5,11.0,6.4,85.4,0.0,13.6,42.4
110,Barnwell AGDM,19-September-2018,5.2,13.6,8.2,78.0,0.0,8.1,49.2
111,Barnwell AGDM,20-September-2018,0.3,16.4,8.2,82.6,0.1,8.3,50.8
112,Barnwell AGDM,21-September-2018,2.6,18.1,9.3,82.5,0.0,12.5,57.6
113,Barnwell AGDM,22-September-2018,1.6,6.0,3.8,92.0,0.1,10.2,59.3
