"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Fincastle IMCIN","20-May-2018","6.3","ACTUAL","100.0","26.1","ACTUAL","100.0","16.2","AGGREGATED","100.0","54.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.0","AGGREGATED","100.0","19.5","AGGREGATED","100.0","205.8","AGGREGATED","100.0","15.3","COMPUTED",""
"Fincastle IMCIN","21-May-2018","10.3","ACTUAL","100.0","25.8","ACTUAL","100.0","18.0","AGGREGATED","100.0","48.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","AGGREGATED","100.0","10.9","AGGREGATED","100.0","305.3","AGGREGATED","100.0","13.6","COMPUTED",""
"Fincastle IMCIN","22-May-2018","7.9","ACTUAL","100.0","27.4","ACTUAL","100.0","18.9","AGGREGATED","100.0","48.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","5.7","AGGREGATED","100.0","6.5","AGGREGATED","100.0","41.1","AGGREGATED","100.0","11.9","COMPUTED",""
"Fincastle IMCIN","23-May-2018","8.2","ACTUAL","100.0","28.2","ACTUAL","100.0","19.0","AGGREGATED","100.0","51.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.9","AGGREGATED","100.0","10.3","AGGREGATED","100.0","184.4","AGGREGATED","100.0","8.5","COMPUTED",""
"Fincastle IMCIN","24-May-2018","10.5","ACTUAL","100.0","29.1","ACTUAL","100.0","20.5","AGGREGATED","100.0","50.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.1","AGGREGATED","100.0","19.4","AGGREGATED","100.0","246.3","AGGREGATED","100.0","6.8","COMPUTED",""
"Fincastle IMCIN","25-May-2018","13.2","ACTUAL","100.0","29.3","ACTUAL","100.0","21.4","AGGREGATED","100.0","46.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.3","AGGREGATED","100.0","11.8","AGGREGATED","100.0","263.9","AGGREGATED","100.0","3.4","COMPUTED",""
"Fincastle IMCIN","26-May-2018","13.8","ACTUAL","100.0","24.3","ACTUAL","100.0","18.6","AGGREGATED","100.0","55.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.3","AGGREGATED","100.0","15.1","AGGREGATED","100.0","267.8","AGGREGATED","100.0","3.4","COMPUTED",""
"Fincastle IMCIN","27-May-2018","12.6","ACTUAL","100.0","25.9","ACTUAL","100.0","19.0","AGGREGATED","100.0","53.5","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","100.0","15.0","AGGREGATED","100.0","274.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","28-May-2018","9.8","ACTUAL","100.0","30.9","ACTUAL","100.0","21.8","AGGREGATED","100.0","43.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.4","AGGREGATED","100.0","14.9","AGGREGATED","100.0","220.7","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","29-May-2018","12.8","ACTUAL","100.0","21.6","ACTUAL","100.0","16.9","AGGREGATED","100.0","47.1","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. Weighing]","1.0","AGGREGATED","using element [Precip. Weighing]","13.1","AGGREGATED","100.0","17.3","AGGREGATED","100.0","353.9","AGGREGATED","100.0","1.7","COMPUTED",""
