"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Fincastle IMCIN","24-May-2020","5.7","ACTUAL","100.0","21.7","ACTUAL","100.0","14.1","AGGREGATED","100.0","61.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.6","AGGREGATED","100.0","8.1","AGGREGATED","100.0","232.2","AGGREGATED","100.0","6.8","COMPUTED",""
"Fincastle IMCIN","25-May-2020","9.0","ACTUAL","100.0","22.8","ACTUAL","100.0","16.0","AGGREGATED","100.0","55.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.2","AGGREGATED","100.0","17.9","AGGREGATED","100.0","259.6","AGGREGATED","100.0","3.4","COMPUTED",""
"Fincastle IMCIN","26-May-2020","8.4","ACTUAL","100.0","23.1","ACTUAL","100.0","14.6","AGGREGATED","100.0","64.0","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.5","AGGREGATED","using element [Precip. Weighing]","13.2","AGGREGATED","100.0","19.0","AGGREGATED","100.0","293.0","AGGREGATED","100.0","3.4","COMPUTED",""
"Fincastle IMCIN","27-May-2020","6.8","ACTUAL","100.0","17.9","ACTUAL","100.0","12.8","AGGREGATED","100.0","58.0","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.3","AGGREGATED","100.0","10.8","AGGREGATED","100.0","331.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","28-May-2020","5.7","ACTUAL","100.0","22.5","ACTUAL","100.0","15.1","AGGREGATED","100.0","50.0","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.8","AGGREGATED","100.0","14.8","AGGREGATED","100.0","149.6","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","29-May-2020","12.3","ACTUAL","100.0","25.9","ACTUAL","100.0","18.7","AGGREGATED","100.0","48.2","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.5","AGGREGATED","100.0","12.2","AGGREGATED","100.0","116.6","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","30-May-2020","11.6","ACTUAL","100.0","28.4","ACTUAL","100.0","20.5","AGGREGATED","100.0","50.3","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.6","AGGREGATED","100.0","26.9","AGGREGATED","100.0","148.0","AGGREGATED","100.0","1.7","COMPUTED",""
"Fincastle IMCIN","31-May-2020","13.0","ACTUAL","100.0","24.2","ACTUAL","100.0","18.6","AGGREGATED","100.0","58.6","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","20.0","AGGREGATED","100.0","30.8","AGGREGATED","100.0","215.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","01-June-2020","10.5","ACTUAL","100.0","22.1","ACTUAL","100.0","16.1","AGGREGATED","100.0","47.6","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.0","AGGREGATED","100.0","19.5","AGGREGATED","100.0","265.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","02-June-2020","5.8","ACTUAL","100.0","23.1","ACTUAL","100.0","15.8","AGGREGATED","100.0","52.3","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.7","AGGREGATED","100.0","17.9","AGGREGATED","100.0","247.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","03-June-2020","8.0","ACTUAL","100.0","22.3","ACTUAL","100.0","15.6","AGGREGATED","100.0","48.9","AGGREGATED","100.0","0.5","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.4","AGGREGATED","100.0","12.0","AGGREGATED","100.0","325.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","04-June-2020","7.6","ACTUAL","100.0","19.9","ACTUAL","100.0","13.3","AGGREGATED","100.0","57.7","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. Weighing]","0.5","AGGREGATED","using element [Precip. Weighing]","6.6","AGGREGATED","100.0","8.3","AGGREGATED","100.0","308.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","05-June-2020","4.3","ACTUAL","100.0","22.1","ACTUAL","100.0","14.2","AGGREGATED","100.0","63.8","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.3","AGGREGATED","100.0","12.8","AGGREGATED","100.0","116.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","06-June-2020","10.7","ACTUAL","100.0","20.5","ACTUAL","100.0","14.7","AGGREGATED","100.0","77.3","AGGREGATED","100.0","5.8","AGGREGATED","using element [Precip. Weighing]","4.8","AGGREGATED","using element [Precip. Weighing]","8.5","AGGREGATED","100.0","11.9","AGGREGATED","100.0","314.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","07-June-2020","6.9","ACTUAL","100.0","13.6","ACTUAL","100.0","11.4","AGGREGATED","100.0","87.0","AGGREGATED","100.0","27.0","AGGREGATED","using element [Precip. Weighing]","21.2","AGGREGATED","using element [Precip. Weighing]","16.3","AGGREGATED","100.0","24.5","AGGREGATED","100.0","297.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","08-June-2020","6.5","ACTUAL","100.0","15.9","ACTUAL","100.0","10.6","AGGREGATED","100.0","80.3","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","1.9","AGGREGATED","using element [Precip. Weighing]","12.8","AGGREGATED","100.0","18.6","AGGREGATED","100.0","234.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","09-June-2020","7.2","ACTUAL","100.0","19.1","ACTUAL","100.0","13.1","AGGREGATED","100.0","53.3","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.7","AGGREGATED","100.0","22.4","AGGREGATED","100.0","270.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","10-June-2020","9.8","ACTUAL","100.0","23.1","ACTUAL","100.0","16.6","AGGREGATED","100.0","50.6","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","100.0","16.9","AGGREGATED","100.0","275.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","11-June-2020","8.1","ACTUAL","100.0","24.8","ACTUAL","100.0","17.4","AGGREGATED","100.0","54.6","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.0","AGGREGATED","100.0","12.1","AGGREGATED","100.0","241.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","12-June-2020","10.6","ACTUAL","100.0","30.7","ACTUAL","100.0","21.4","AGGREGATED","100.0","57.6","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","13.1","AGGREGATED","100.0","154.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","13-June-2020","12.1","ACTUAL","100.0","25.9","ACTUAL","100.0","18.0","AGGREGATED","100.0","69.0","AGGREGATED","100.0","28.9","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.3","AGGREGATED","100.0","14.8","AGGREGATED","100.0","319.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","14-June-2020","9.0","ACTUAL","100.0","19.9","ACTUAL","100.0","14.2","AGGREGATED","100.0","54.0","AGGREGATED","100.0","29.0","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","18.3","AGGREGATED","100.0","28.1","AGGREGATED","100.0","239.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","15-June-2020","8.5","ACTUAL","100.0","19.3","ACTUAL","100.0","14.5","AGGREGATED","100.0","47.5","AGGREGATED","100.0","29.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.2","AGGREGATED","100.0","29.4","AGGREGATED","100.0","247.6","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","16-June-2020","7.7","ACTUAL","100.0","21.0","ACTUAL","100.0","14.4","AGGREGATED","100.0","65.2","AGGREGATED","100.0","29.9","AGGREGATED","using element [Precip. Weighing]","0.9","AGGREGATED","using element [Precip. Weighing]","11.5","AGGREGATED","100.0","16.4","AGGREGATED","100.0","322.4","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","17-June-2020","8.2","ACTUAL","100.0","16.1","ACTUAL","100.0","12.3","AGGREGATED","100.0","85.7","AGGREGATED","100.0","40.3","AGGREGATED","using element [Precip. Weighing]","10.4","AGGREGATED","using element [Precip. Weighing]","14.3","AGGREGATED","100.0","20.6","AGGREGATED","100.0","328.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","18-June-2020","9.0","ACTUAL","100.0","17.3","ACTUAL","100.0","12.4","AGGREGATED","100.0","76.6","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.8","AGGREGATED","using element [Precip. Weighing]","10.6","AGGREGATED","100.0","13.6","AGGREGATED","100.0","8.3","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","19-June-2020","7.3","ACTUAL","100.0","22.9","ACTUAL","100.0","15.5","AGGREGATED","100.0","68.3","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.3","AGGREGATED","100.0","8.0","AGGREGATED","100.0","214.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","20-June-2020","9.8","ACTUAL","100.0","26.3","ACTUAL","100.0","18.4","AGGREGATED","100.0","65.1","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.2","AGGREGATED","100.0","11.2","AGGREGATED","100.0","245.7","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","21-June-2020","13.7","ACTUAL","100.0","24.5","ACTUAL","100.0","18.9","AGGREGATED","100.0","66.0","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.4","AGGREGATED","100.0","12.8","AGGREGATED","100.0","332.0","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","22-June-2020","12.1","ACTUAL","100.0","27.9","ACTUAL","100.0","19.8","AGGREGATED","100.0","66.8","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.0","AGGREGATED","100.0","8.0","AGGREGATED","100.0","235.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","23-June-2020","14.0","ACTUAL","100.0","30.5","ACTUAL","100.0","22.2","AGGREGATED","100.0","57.9","AGGREGATED","100.0","41.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.3","AGGREGATED","100.0","12.5","AGGREGATED","100.0","249.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","24-June-2020","15.3","ACTUAL","100.0","25.3","ACTUAL","100.0","19.7","AGGREGATED","100.0","70.5","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","1.0","AGGREGATED","using element [Precip. Weighing]","9.6","AGGREGATED","100.0","13.7","AGGREGATED","100.0","277.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","25-June-2020","13.4","ACTUAL","100.0","25.5","ACTUAL","100.0","19.3","AGGREGATED","100.0","68.6","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.6","AGGREGATED","100.0","10.1","AGGREGATED","100.0","258.9","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","26-June-2020","13.8","ACTUAL","100.0","31.3","ACTUAL","100.0","22.3","AGGREGATED","100.0","60.6","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.5","AGGREGATED","100.0","15.6","AGGREGATED","100.0","246.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","27-June-2020","11.9","ACTUAL","100.0","23.5","ACTUAL","100.0","16.3","AGGREGATED","100.0","78.5","AGGREGATED","100.0","44.2","AGGREGATED","using element [Precip. Weighing]","2.1","AGGREGATED","using element [Precip. Weighing]","9.4","AGGREGATED","100.0","12.7","AGGREGATED","100.0","359.5","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","28-June-2020","10.2","ACTUAL","100.0","15.9","ACTUAL","100.0","12.4","AGGREGATED","100.0","86.5","AGGREGATED","100.0","53.7","AGGREGATED","using element [Precip. Weighing]","9.5","AGGREGATED","using element [Precip. Weighing]","11.6","AGGREGATED","100.0","15.8","AGGREGATED","100.0","332.8","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","29-June-2020","11.5","ACTUAL","100.0","18.2","ACTUAL","100.0","13.7","AGGREGATED","100.0","89.2","AGGREGATED","100.0","59.9","AGGREGATED","using element [Precip. Weighing]","6.2","AGGREGATED","using element [Precip. Weighing]","13.2","AGGREGATED","100.0","17.5","AGGREGATED","100.0","359.1","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","30-June-2020","11.3","ACTUAL","100.0","17.4","ACTUAL","100.0","14.0","AGGREGATED","100.0","88.3","AGGREGATED","100.0","80.6","AGGREGATED","using element [Precip. Weighing]","20.7","AGGREGATED","using element [Precip. Weighing]","17.9","AGGREGATED","100.0","25.4","AGGREGATED","100.0","273.2","AGGREGATED","100.0","0.0","COMPUTED",""
"Fincastle IMCIN","01-July-2020","9.7","ACTUAL","100.0","21.1","ACTUAL","100.0","15.4","AGGREGATED","100.0","68.4","AGGREGATED","100.0","80.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.5","AGGREGATED","100.0","22.7","AGGREGATED","100.0","243.4","AGGREGATED","100.0","0.0","COMPUTED",""
