"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Grassy Lake IMCIN","01-June-2018","9.1","ACTUAL","100.0","16.0","ACTUAL","100.0","11.2","AGGREGATED","100.0","87.3","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","13.4","AGGREGATED","using element [Precip. Weighing]","14.3","AGGREGATED","100.0","1.4","COMPUTED","14.7","COMPUTED","","7.4","COMPUTED","","22.0","COMPUTED","","9.7","COMPUTED","1.7","COMPUTED","","2.2","COMPUTED","solar-ACT, 2m wind, Avg.","7.5","COMPUTED"
"Grassy Lake IMCIN","02-June-2018","6.8","ACTUAL","100.0","23.0","ACTUAL","100.0","15.6","AGGREGATED","100.0","56.9","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.7","AGGREGATED","100.0","3.8","COMPUTED","15.1","COMPUTED","","8.0","COMPUTED","","22.2","COMPUTED","","19.8","COMPUTED","1.7","COMPUTED","","5.4","COMPUTED","solar-ACT, 2m wind, Avg.","17.4","COMPUTED"
"Grassy Lake IMCIN","03-June-2018","6.8","ACTUAL","100.0","25.7","ACTUAL","100.0","17.2","AGGREGATED","100.0","55.8","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.1","AGGREGATED","100.0","6.3","COMPUTED","15.1","COMPUTED","","8.1","COMPUTED","","22.1","COMPUTED","","29.9","COMPUTED","1.7","COMPUTED","","5.7","COMPUTED","solar-ACT, 2m wind, Avg.","28.7","COMPUTED"
"Grassy Lake IMCIN","04-June-2018","12.5","ACTUAL","100.0","26.7","ACTUAL","100.0","19.6","AGGREGATED","100.0","46.5","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","23.7","AGGREGATED","100.0","7.6","COMPUTED","15.6","COMPUTED","","8.3","COMPUTED","","23.0","COMPUTED","","40.5","COMPUTED","1.7","COMPUTED","","6.8","COMPUTED","solar-ACT, 2m wind, Avg.","43.3","COMPUTED"
"Grassy Lake IMCIN","05-June-2018","5.0","ACTUAL","100.0","22.8","ACTUAL","100.0","14.8","AGGREGATED","100.0","55.5","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.1","AGGREGATED","100.0","9.6","COMPUTED","15.7","COMPUTED","","8.7","COMPUTED","","22.7","COMPUTED","","51.2","COMPUTED","1.7","COMPUTED","","5.1","COMPUTED","solar-ACT, 2m wind, Avg.","52.2","COMPUTED"
"Grassy Lake IMCIN","06-June-2018","7.4","ACTUAL","100.0","26.7","ACTUAL","100.0","17.6","AGGREGATED","100.0","43.9","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.4","AGGREGATED","100.0","12.1","COMPUTED","14.8","COMPUTED","","8.3","COMPUTED","","21.3","COMPUTED","","61.0","COMPUTED","1.7","COMPUTED","","6.1","COMPUTED","solar-ACT, 2m wind, Avg.","64.2","COMPUTED"
"Grassy Lake IMCIN","07-June-2018","7.8","ACTUAL","100.0","28.4","ACTUAL","100.0","19.8","AGGREGATED","100.0","52.1","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.2","AGGREGATED","100.0","14.4","COMPUTED","15.0","COMPUTED","","8.3","COMPUTED","","21.7","COMPUTED","","71.0","COMPUTED","1.7","COMPUTED","","6.1","COMPUTED","solar-ACT, 2m wind, Avg.","77.3","COMPUTED"
"Grassy Lake IMCIN","08-June-2018","12.5","ACTUAL","100.0","29.3","ACTUAL","100.0","21.5","AGGREGATED","100.0","47.6","AGGREGATED","100.0","13.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.6","AGGREGATED","100.0","17.4","COMPUTED","15.3","COMPUTED","","8.6","COMPUTED","","22.1","COMPUTED","","81.3","COMPUTED","1.7","COMPUTED","","7.2","COMPUTED","solar-ACT, 2m wind, Avg.","93.2","COMPUTED"
"Grassy Lake IMCIN","09-June-2018","13.2","ACTUAL","100.0","33.2","ACTUAL","100.0","19.6","AGGREGATED","100.0","65.4","AGGREGATED","100.0","20.5","AGGREGATED","using element [Precip. Weighing]","7.1","AGGREGATED","using element [Precip. Weighing]","21.0","AGGREGATED","100.0","19.3","COMPUTED","15.2","COMPUTED","","8.3","COMPUTED","","22.0","COMPUTED","","91.5","COMPUTED","1.7","COMPUTED","","6.8","COMPUTED","solar-ACT, 2m wind, Avg.","111.3","COMPUTED"
"Grassy Lake IMCIN","10-June-2018","9.2","ACTUAL","100.0","18.0","ACTUAL","100.0","13.6","AGGREGATED","100.0","59.7","AGGREGATED","100.0","23.3","AGGREGATED","using element [Precip. Weighing]","2.8","AGGREGATED","using element [Precip. Weighing]","33.5","AGGREGATED","100.0","22.3","COMPUTED","14.9","COMPUTED","","8.3","COMPUTED","","21.5","COMPUTED","","101.4","COMPUTED","1.7","COMPUTED","","5.0","COMPUTED","solar-ACT, 2m wind, Avg.","120.0","COMPUTED"
