"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Grassy Lake IMCIN","24-May-2020","4.4","ACTUAL","100.0","22.6","ACTUAL","100.0","13.7","AGGREGATED","100.0","61.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.9","AGGREGATED","100.0","8.4","AGGREGATED","100.0","192.9","AGGREGATED","100.0","8.5","COMPUTED",""
"Grassy Lake IMCIN","25-May-2020","8.8","ACTUAL","100.0","23.1","ACTUAL","100.0","16.1","AGGREGATED","100.0","55.6","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.2","AGGREGATED","using element [Precip. Weighing]","14.1","AGGREGATED","100.0","19.1","AGGREGATED","100.0","240.1","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","26-May-2020","8.5","ACTUAL","100.0","22.9","ACTUAL","100.0","14.5","AGGREGATED","100.0","66.5","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.5","AGGREGATED","using element [Precip. Weighing]","14.0","AGGREGATED","100.0","19.3","AGGREGATED","100.0","279.7","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","27-May-2020","6.0","ACTUAL","100.0","18.3","ACTUAL","100.0","12.4","AGGREGATED","100.0","58.4","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","100.0","13.7","AGGREGATED","100.0","317.5","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","28-May-2020","3.1","ACTUAL","100.0","21.9","ACTUAL","100.0","14.3","AGGREGATED","100.0","52.4","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.5","AGGREGATED","100.0","15.2","AGGREGATED","100.0","126.0","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","29-May-2020","13.2","ACTUAL","100.0","27.5","ACTUAL","100.0","18.9","AGGREGATED","100.0","46.4","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.2","AGGREGATED","100.0","17.0","AGGREGATED","100.0","126.3","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","30-May-2020","12.3","ACTUAL","100.0","27.1","ACTUAL","100.0","20.0","AGGREGATED","100.0","50.4","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","21.8","AGGREGATED","100.0","30.7","AGGREGATED","100.0","137.4","AGGREGATED","100.0","3.4","COMPUTED",""
"Grassy Lake IMCIN","31-May-2020","13.1","ACTUAL","100.0","25.5","ACTUAL","100.0","19.1","AGGREGATED","100.0","55.5","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","26.6","AGGREGATED","100.0","38.0","AGGREGATED","100.0","198.9","AGGREGATED","100.0","1.7","COMPUTED",""
"Grassy Lake IMCIN","01-June-2020","9.1","ACTUAL","100.0","22.4","ACTUAL","100.0","16.1","AGGREGATED","100.0","47.2","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.4","AGGREGATED","100.0","19.7","AGGREGATED","100.0","244.2","AGGREGATED","100.0","1.7","COMPUTED",""
"Grassy Lake IMCIN","02-June-2020","6.4","ACTUAL","100.0","24.3","ACTUAL","100.0","16.4","AGGREGATED","100.0","48.3","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.8","AGGREGATED","100.0","20.0","AGGREGATED","100.0","237.5","AGGREGATED","100.0","1.7","COMPUTED",""
"Grassy Lake IMCIN","03-June-2020","8.1","ACTUAL","100.0","22.8","ACTUAL","100.0","15.8","AGGREGATED","100.0","47.2","AGGREGATED","100.0","0.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.9","AGGREGATED","100.0","14.2","AGGREGATED","100.0","309.2","AGGREGATED","100.0","1.7","COMPUTED",""
"Grassy Lake IMCIN","04-June-2020","7.5","ACTUAL","100.0","20.2","ACTUAL","100.0","13.5","AGGREGATED","100.0","55.7","AGGREGATED","100.0","1.3","AGGREGATED","using element [Precip. Weighing]","0.6","AGGREGATED","using element [Precip. Weighing]","6.7","AGGREGATED","100.0","9.0","AGGREGATED","100.0","301.9","AGGREGATED","100.0","1.7","COMPUTED",""
"Grassy Lake IMCIN","05-June-2020","4.2","ACTUAL","100.0","23.2","ACTUAL","100.0","14.7","AGGREGATED","100.0","62.6","AGGREGATED","100.0","1.3","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.5","AGGREGATED","100.0","11.4","AGGREGATED","100.0","112.7","AGGREGATED","100.0","1.7","COMPUTED",""
