,Station Name,Date (Local Standard Time),Air Temp. Min. (�C),Air Temp. Max. (�C),Air Temp. Avg. (�C),Humidity Avg. (%),Precip. (mm),Wind Speed 10 m Avg. (km/h),Frost Probability 0�C (%)
0,Grassy Lake IMCIN,01-June-2018,9.1,16.0,11.2,87.3,13.4,14.3,1.7
1,Grassy Lake IMCIN,02-June-2018,6.8,23.0,15.6,56.9,0.0,18.7,1.7
2,Grassy Lake IMCIN,03-June-2018,6.8,25.7,17.2,55.8,0.0,13.1,1.7
3,Grassy Lake IMCIN,04-June-2018,12.5,26.7,19.6,46.5,0.0,23.7,1.7
4,Grassy Lake IMCIN,05-June-2018,5.0,22.8,14.8,55.5,0.0,11.1,1.7
5,Grassy Lake IMCIN,06-June-2018,7.4,26.7,17.6,43.9,0.0,12.4,1.7
6,Grassy Lake IMCIN,07-June-2018,7.8,28.4,19.8,52.1,0.0,15.2,1.7
7,Grassy Lake IMCIN,08-June-2018,12.5,29.3,21.5,47.6,0.0,18.6,1.7
8,Grassy Lake IMCIN,09-June-2018,13.2,33.2,19.6,65.4,7.1,21.0,1.7
9,Grassy Lake IMCIN,10-June-2018,9.2,18.0,13.6,59.7,2.8,33.5,1.7
10,Grassy Lake IMCIN,11-June-2018,7.5,18.6,13.1,42.0,0.0,30.0,1.7
11,Grassy Lake IMCIN,12-June-2018,8.8,22.7,15.6,36.4,0.0,23.1,1.7
12,Grassy Lake IMCIN,13-June-2018,9.9,26.8,18.4,38.3,0.0,22.7,0.0
13,Grassy Lake IMCIN,14-June-2018,8.1,20.8,14.0,65.6,0.8,17.9,0.0
14,Grassy Lake IMCIN,15-June-2018,8.4,22.1,14.2,74.9,3.0,10.5,0.0
15,Grassy Lake IMCIN,16-June-2018,11.2,17.7,13.2,88.4,11.6,11.5,0.0
16,Grassy Lake IMCIN,17-June-2018,8.9,23.6,16.8,66.1,0.0,6.9,0.0
17,Grassy Lake IMCIN,18-June-2018,12.8,20.3,15.8,80.7,1.1,8.6,0.0
18,Grassy Lake IMCIN,19-June-2018,12.9,22.9,17.4,73.8,0.0,8.1,0.0
19,Grassy Lake IMCIN,20-June-2018,9.8,26.3,18.9,67.6,0.0,12.2,0.0
20,Grassy Lake IMCIN,21-June-2018,13.0,30.6,21.0,64.8,0.0,16.0,0.0
21,Grassy Lake IMCIN,22-June-2018,12.9,28.0,19.9,64.6,0.0,18.9,0.0
22,Grassy Lake IMCIN,23-June-2018,12.9,25.5,17.9,77.3,0.0,13.4,0.0
23,Grassy Lake IMCIN,24-June-2018,12.8,28.6,20.5,70.3,0.0,7.1,0.0
24,Grassy Lake IMCIN,25-June-2018,13.8,30.4,21.8,57.6,0.0,22.5,0.0
25,Grassy Lake IMCIN,26-June-2018,10.4,22.8,17.6,38.3,0.0,28.9,0.0
26,Grassy Lake IMCIN,27-June-2018,6.6,24.3,16.7,49.4,0.0,16.5,0.0
27,Grassy Lake IMCIN,28-June-2018,10.5,22.8,17.4,54.3,0.0,12.2,0.0
28,Grassy Lake IMCIN,29-June-2018,8.3,22.5,16.0,66.2,0.0,11.4,0.0
29,Grassy Lake IMCIN,30-June-2018,7.3,24.8,16.6,61.5,0.0,18.1,0.0
30,Grassy Lake IMCIN,01-July-2018,9.8,24.3,16.6,60.9,0.0,14.2,0.0
31,Grassy Lake IMCIN,02-July-2018,7.6,18.9,12.6,78.2,5.4,9.8,0.0
32,Grassy Lake IMCIN,03-July-2018,8.2,18.9,12.2,81.2,6.1,10.3,0.0
33,Grassy Lake IMCIN,04-July-2018,9.7,23.0,15.5,75.2,2.9,10.5,0.0
34,Grassy Lake IMCIN,05-July-2018,10.4,29.0,19.8,65.1,0.0,18.8,0.0
35,Grassy Lake IMCIN,06-July-2018,14.7,35.6,24.3,57.8,0.0,19.0,0.0
36,Grassy Lake IMCIN,07-July-2018,14.6,28.0,22.2,39.1,0.0,23.3,0.0
37,Grassy Lake IMCIN,08-July-2018,9.5,27.8,19.1,54.2,0.0,9.1,0.0
38,Grassy Lake IMCIN,09-July-2018,10.2,32.4,21.6,54.4,0.0,11.3,0.0
39,Grassy Lake IMCIN,10-July-2018,12.6,31.3,19.7,66.1,0.0,14.3,0.0
40,Grassy Lake IMCIN,11-July-2018,11.9,27.8,19.8,60.6,0.0,15.3,0.0
41,Grassy Lake IMCIN,12-July-2018,10.0,30.3,21.1,57.7,0.0,10.0,0.0
42,Grassy Lake IMCIN,13-July-2018,11.1,33.9,23.6,52.8,0.0,13.2,0.0
43,Grassy Lake IMCIN,14-July-2018,11.0,22.2,16.3,62.9,0.0,19.5,0.0
44,Grassy Lake IMCIN,15-July-2018,7.2,29.9,18.8,53.4,0.0,11.8,0.0
45,Grassy Lake IMCIN,16-July-2018,8.4,33.4,21.6,51.1,0.0,9.3,0.0
46,Grassy Lake IMCIN,17-July-2018,11.5,35.7,23.9,48.5,0.0,10.3,0.0
47,Grassy Lake IMCIN,18-July-2018,15.8,29.9,22.7,55.7,0.6,18.1,0.0
48,Grassy Lake IMCIN,19-July-2018,11.9,30.8,21.5,61.5,0.0,10.8,0.0
49,Grassy Lake IMCIN,20-July-2018,11.5,32.4,22.6,49.6,0.0,14.6,0.0
50,Grassy Lake IMCIN,21-July-2018,8.0,29.1,18.2,55.0,0.0,10.3,0.0
51,Grassy Lake IMCIN,22-July-2018,7.5,24.6,16.4,60.8,0.0,16.7,0.0
52,Grassy Lake IMCIN,23-July-2018,8.2,28.7,18.4,59.5,0.3,13.6,0.0
53,Grassy Lake IMCIN,24-July-2018,13.1,23.2,16.8,76.9,0.6,10.0,0.0
54,Grassy Lake IMCIN,25-July-2018,9.4,24.2,16.9,68.8,0.0,7.1,0.0
55,Grassy Lake IMCIN,26-July-2018,9.6,26.7,18.2,62.1,0.0,9.7,0.0
56,Grassy Lake IMCIN,27-July-2018,9.5,26.6,18.1,64.1,0.1,7.2,0.0
57,Grassy Lake IMCIN,28-July-2018,11.3,28.0,19.5,60.5,0.0,6.9,0.0
58,Grassy Lake IMCIN,29-July-2018,9.7,30.5,20.0,58.4,0.0,8.2,0.0
59,Grassy Lake IMCIN,30-July-2018,9.2,35.0,22.5,54.3,0.0,9.2,0.0
60,Grassy Lake IMCIN,31-July-2018,14.0,28.5,21.7,63.6,0.0,11.5,0.0
61,Grassy Lake IMCIN,01-August-2018,15.4,33.9,23.8,52.8,0.0,16.1,0.0
62,Grassy Lake IMCIN,02-August-2018,12.8,33.1,22.0,55.2,0.0,10.2,0.0
63,Grassy Lake IMCIN,03-August-2018,10.3,29.2,19.3,53.1,0.0,18.3,0.0
64,Grassy Lake IMCIN,04-August-2018,9.7,23.7,16.7,66.9,0.0,18.5,0.0
65,Grassy Lake IMCIN,05-August-2018,12.9,22.0,16.8,77.6,0.3,10.1,0.0
66,Grassy Lake IMCIN,06-August-2018,9.8,31.2,20.2,61.8,0.0,11.0,0.0
67,Grassy Lake IMCIN,07-August-2018,12.5,32.5,22.0,50.8,0.0,12.5,0.0
68,Grassy Lake IMCIN,08-August-2018,12.4,32.2,21.1,56.2,0.0,9.4,0.0
69,Grassy Lake IMCIN,09-August-2018,11.9,35.7,22.9,53.6,0.0,10.9,0.0
70,Grassy Lake IMCIN,10-August-2018,14.6,39.6,26.4,43.0,0.0,12.9,0.0
71,Grassy Lake IMCIN,11-August-2018,13.4,29.6,21.4,54.1,0.0,17.9,0.0
72,Grassy Lake IMCIN,12-August-2018,10.6,27.7,17.8,65.3,0.0,15.3,0.0
73,Grassy Lake IMCIN,13-August-2018,7.6,21.9,14.4,66.0,0.0,10.6,0.0
74,Grassy Lake IMCIN,14-August-2018,8.7,29.5,18.6,54.6,0.0,12.5,0.0
75,Grassy Lake IMCIN,15-August-2018,11.9,31.8,19.8,52.6,0.0,11.1,0.0
76,Grassy Lake IMCIN,16-August-2018,8.1,29.5,17.9,65.4,0.0,8.4,0.0
77,Grassy Lake IMCIN,17-August-2018,12.8,32.5,21.5,52.3,0.0,10.3,0.0
