"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Lethbridge Demo Farm IMCIN","20-May-2018","3.5","ACTUAL","100.0","25.4","ACTUAL","100.0","15.6","AGGREGATED","100.0","52.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.5","AGGREGATED","100.0","17.9","AGGREGATED","100.0","214.2","AGGREGATED","100.0","42.4","COMPUTED",""
"Lethbridge Demo Farm IMCIN","21-May-2018","6.5","ACTUAL","100.0","25.3","ACTUAL","100.0","17.2","AGGREGATED","100.0","46.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.4","AGGREGATED","100.0","9.4","AGGREGATED","100.0","311.6","AGGREGATED","100.0","35.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","22-May-2018","6.5","ACTUAL","100.0","26.9","ACTUAL","100.0","18.5","AGGREGATED","100.0","47.2","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","6.9","AGGREGATED","100.0","7.7","AGGREGATED","100.0","157.0","AGGREGATED","100.0","23.7","COMPUTED",""
"Lethbridge Demo Farm IMCIN","23-May-2018","8.1","ACTUAL","100.0","28.1","ACTUAL","100.0","18.9","AGGREGATED","100.0","47.9","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.7","AGGREGATED","100.0","9.4","AGGREGATED","100.0","174.1","AGGREGATED","100.0","20.3","COMPUTED",""
"Lethbridge Demo Farm IMCIN","24-May-2018","10.1","ACTUAL","100.0","29.2","ACTUAL","100.0","20.8","AGGREGATED","100.0","44.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.2","AGGREGATED","100.0","25.0","AGGREGATED","100.0","244.7","AGGREGATED","100.0","18.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","25-May-2018","13.3","ACTUAL","100.0","28.7","ACTUAL","100.0","21.8","AGGREGATED","100.0","39.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.6","AGGREGATED","100.0","16.5","AGGREGATED","100.0","249.1","AGGREGATED","100.0","13.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","26-May-2018","12.8","ACTUAL","100.0","23.8","ACTUAL","100.0","18.3","AGGREGATED","100.0","53.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.9","AGGREGATED","100.0","17.6","AGGREGATED","100.0","247.5","AGGREGATED","100.0","13.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","27-May-2018","10.4","ACTUAL","100.0","25.9","ACTUAL","100.0","18.8","AGGREGATED","100.0","45.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.7","AGGREGATED","100.0","14.3","AGGREGATED","100.0","285.0","AGGREGATED","100.0","11.9","COMPUTED",""
"Lethbridge Demo Farm IMCIN","28-May-2018","9.2","ACTUAL","100.0","29.9","ACTUAL","100.0","21.4","AGGREGATED","100.0","40.1","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.3","AGGREGATED","100.0","18.4","AGGREGATED","100.0","228.9","AGGREGATED","100.0","10.2","COMPUTED",""
"Lethbridge Demo Farm IMCIN","29-May-2018","13.3","ACTUAL","100.0","20.0","ACTUAL","100.0","16.5","AGGREGATED","100.0","45.6","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.7","AGGREGATED","100.0","15.9","AGGREGATED","100.0","11.6","AGGREGATED","100.0","8.5","COMPUTED",""
