"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Lethbridge Demo Farm IMCIN","24-May-2020","5.4","ACTUAL","100.0","21.2","ACTUAL","100.0","13.4","AGGREGATED","100.0","58.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.6","AGGREGATED","100.0","11.3","AGGREGATED","100.0","236.2","AGGREGATED","100.0","18.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","25-May-2020","6.1","ACTUAL","100.0","22.4","ACTUAL","100.0","15.2","AGGREGATED","100.0","53.7","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.1","AGGREGATED","100.0","22.3","AGGREGATED","100.0","238.9","AGGREGATED","100.0","13.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","26-May-2020","9.6","ACTUAL","100.0","23.2","ACTUAL","100.0","14.9","AGGREGATED","100.0","55.2","AGGREGATED","100.0","2.4","AGGREGATED","using element [Precip. Weighing]","2.4","AGGREGATED","using element [Precip. Weighing]","20.6","AGGREGATED","100.0","24.8","AGGREGATED","100.0","279.1","AGGREGATED","100.0","13.6","COMPUTED",""
"Lethbridge Demo Farm IMCIN","27-May-2020","6.0","ACTUAL","100.0","18.1","ACTUAL","100.0","12.6","AGGREGATED","100.0","55.1","AGGREGATED","100.0","2.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.6","AGGREGATED","100.0","8.5","AGGREGATED","100.0","339.5","AGGREGATED","100.0","11.9","COMPUTED",""
"Lethbridge Demo Farm IMCIN","28-May-2020","3.5","ACTUAL","100.0","22.9","ACTUAL","100.0","14.8","AGGREGATED","100.0","46.3","AGGREGATED","100.0","2.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.8","AGGREGATED","100.0","10.7","AGGREGATED","100.0","144.1","AGGREGATED","100.0","10.2","COMPUTED",""
"Lethbridge Demo Farm IMCIN","29-May-2020","11.1","ACTUAL","100.0","25.5","ACTUAL","100.0","18.0","AGGREGATED","100.0","51.0","AGGREGATED","100.0","2.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","7.7","AGGREGATED","100.0","8.7","AGGREGATED","100.0","57.1","AGGREGATED","100.0","8.5","COMPUTED",""
"Lethbridge Demo Farm IMCIN","30-May-2020","9.7","ACTUAL","100.0","28.7","ACTUAL","100.0","20.3","AGGREGATED","100.0","54.4","AGGREGATED","100.0","2.4","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.4","AGGREGATED","100.0","13.3","AGGREGATED","100.0","130.6","AGGREGATED","100.0","8.5","COMPUTED",""
"Lethbridge Demo Farm IMCIN","31-May-2020","12.2","ACTUAL","100.0","23.3","ACTUAL","100.0","18.3","AGGREGATED","100.0","57.7","AGGREGATED","100.0","2.7","AGGREGATED","using element [Precip. Weighing]","0.3","AGGREGATED","using element [Precip. Weighing]","26.2","AGGREGATED","100.0","32.6","AGGREGATED","100.0","239.4","AGGREGATED","100.0","8.5","COMPUTED",""
"Lethbridge Demo Farm IMCIN","01-June-2020","11.3","ACTUAL","100.0","21.7","ACTUAL","100.0","16.1","AGGREGATED","100.0","41.1","AGGREGATED","100.0","2.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","23.8","AGGREGATED","100.0","29.1","AGGREGATED","100.0","259.3","AGGREGATED","100.0","6.8","COMPUTED",""
"Lethbridge Demo Farm IMCIN","02-June-2020","7.7","ACTUAL","100.0","23.1","ACTUAL","100.0","17.0","AGGREGATED","100.0","38.8","AGGREGATED","100.0","2.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","17.5","AGGREGATED","100.0","22.2","AGGREGATED","100.0","243.8","AGGREGATED","100.0","6.8","COMPUTED",""
