,Station Name,Date (Local Standard Time),Air Temp. Min. (�C),Air Temp. Max. (�C),Air Temp. Avg. (�C),Humidity Avg. (%),Precip. (mm),Wind Speed 10 m Avg. (km/h),Frost Probability 0�C (%)
0,Lethbridge CDA,01-June-2018,8.7,16.7,11.4,85.5,16.5,10.6,3.4
1,Lethbridge CDA,02-June-2018,10.9,22.1,16.6,44.5,0.4,27.1,3.4
2,Lethbridge CDA,03-June-2018,9.1,27.1,18.1,49.1,0.2,9.4,1.7
3,Lethbridge CDA,04-June-2018,13.4,24.6,19.4,43.1,0.2,23.1,1.7
4,Lethbridge CDA,05-June-2018,5.2,22.2,15.0,46.5,0.0,12.8,1.7
5,Lethbridge CDA,06-June-2018,6.3,25.6,17.5,39.1,0.1,12.8,1.7
6,Lethbridge CDA,07-June-2018,8.8,28.3,19.2,46.4,0.0,7.7,1.7
7,Lethbridge CDA,08-June-2018,14.3,28.3,22.4,37.1,0.0,18.2,1.7
8,Lethbridge CDA,09-June-2018,9.2,26.4,17.6,58.1,2.3,10.6,1.7
9,Lethbridge CDA,10-June-2018,9.5,17.3,13.0,52.5,2.1,33.3,0.0
10,Lethbridge CDA,11-June-2018,8.2,18.7,13.0,36.0,0.1,35.7,0.0
11,Lethbridge CDA,12-June-2018,8.6,22.1,15.4,32.6,0.4,31.2,0.0
12,Lethbridge CDA,13-June-2018,10.6,25.4,18.5,33.1,0.0,20.1,0.0
13,Lethbridge CDA,14-June-2018,8.5,19.9,14.0,58.9,0.0,17.1,0.0
14,Lethbridge CDA,15-June-2018,9.5,19.3,13.3,72.5,2.2,7.9,0.0
15,Lethbridge CDA,16-June-2018,10.6,17.0,11.8,92.8,11.2,12.8,0.0
16,Lethbridge CDA,17-June-2018,8.7,21.0,14.9,73.6,0.4,7.3,0.0
17,Lethbridge CDA,18-June-2018,11.7,16.2,14.0,87.5,2.6,5.3,0.0
18,Lethbridge CDA,19-June-2018,12.4,22.4,16.9,72.8,0.6,9.4,0.0
19,Lethbridge CDA,20-June-2018,9.6,25.1,18.2,68.7,0.0,12.8,0.0
20,Lethbridge CDA,21-June-2018,11.2,28.6,19.6,66.0,0.0,11.0,0.0
21,Lethbridge CDA,22-June-2018,13.4,26.1,19.8,60.8,0.9,14.1,0.0
22,Lethbridge CDA,23-June-2018,13.1,19.5,16.0,88.4,12.4,14.5,0.0
23,Lethbridge CDA,24-June-2018,13.6,26.7,20.2,73.9,0.3,7.8,0.0
24,Lethbridge CDA,25-June-2018,12.0,28.9,21.2,55.5,0.1,19.1,0.0
25,Lethbridge CDA,26-June-2018,12.1,21.3,17.7,32.4,0.1,31.3,0.0
26,Lethbridge CDA,27-June-2018,8.8,25.2,17.9,40.5,0.0,18.9,0.0
27,Lethbridge CDA,28-June-2018,13.5,20.7,16.7,51.0,0.0,14.9,0.0
28,Lethbridge CDA,29-June-2018,9.5,21.0,15.2,70.5,5.0,11.3,0.0
29,Lethbridge CDA,30-June-2018,7.3,23.0,16.4,60.7,0.3,23.0,0.0
30,Lethbridge CDA,01-July-2018,13.2,23.4,17.6,48.1,0.1,22.6,0.0
31,Lethbridge CDA,02-July-2018,9.1,17.8,12.8,70.2,3.0,12.8,0.0
32,Lethbridge CDA,03-July-2018,8.5,15.9,11.7,81.0,2.8,10.5,0.0
33,Lethbridge CDA,04-July-2018,10.1,20.8,15.0,72.6,0.4,10.7,0.0
34,Lethbridge CDA,05-July-2018,9.5,27.7,19.0,67.5,0.1,12.2,0.0
35,Lethbridge CDA,06-July-2018,13.4,35.9,24.3,52.3,0.1,17.3,0.0
36,Lethbridge CDA,07-July-2018,15.4,26.9,22.8,31.2,0.0,26.4,0.0
37,Lethbridge CDA,08-July-2018,10.9,25.1,18.7,55.9,0.0,9.5,0.0
38,Lethbridge CDA,09-July-2018,9.5,30.9,20.6,57.1,0.0,6.7,0.0
39,Lethbridge CDA,10-July-2018,12.4,25.2,19.2,64.2,0.2,12.3,0.0
40,Lethbridge CDA,11-July-2018,13.8,26.9,20.1,56.1,0.1,9.9,0.0
41,Lethbridge CDA,12-July-2018,11.6,29.9,21.0,53.5,0.0,8.3,0.0
42,Lethbridge CDA,13-July-2018,13.9,33.6,24.7,44.4,0.1,18.2,0.0
43,Lethbridge CDA,14-July-2018,10.8,21.4,15.4,63.9,0.0,12.6,0.0
44,Lethbridge CDA,15-July-2018,6.4,27.1,17.7,59.3,0.0,8.4,0.0
45,Lethbridge CDA,16-July-2018,8.8,31.0,20.6,56.7,0.2,5.6,0.0
46,Lethbridge CDA,17-July-2018,12.8,33.6,22.9,52.9,0.0,8.3,0.0
47,Lethbridge CDA,18-July-2018,15.6,27.2,22.0,57.2,8.0,13.4,0.0
48,Lethbridge CDA,19-July-2018,13.9,28.7,20.6,66.8,1.0,8.5,0.0
49,Lethbridge CDA,20-July-2018,11.4,31.0,22.3,43.2,0.0,14.4,0.0
50,Lethbridge CDA,21-July-2018,9.9,28.6,18.8,50.8,0.0,12.8,0.0
51,Lethbridge CDA,22-July-2018,7.5,24.6,16.8,58.0,0.1,10.1,0.0
52,Lethbridge CDA,23-July-2018,8.1,27.9,17.9,65.0,0.1,9.7,0.0
53,Lethbridge CDA,24-July-2018,13.2,22.8,16.2,84.2,5.6,10.3,0.0
54,Lethbridge CDA,25-July-2018,12.2,22.6,17.0,79.1,0.5,6.3,0.0
55,Lethbridge CDA,26-July-2018,11.7,24.9,17.6,69.2,0.2,8.1,0.0
56,Lethbridge CDA,27-July-2018,9.0,24.3,17.4,65.5,0.2,8.0,0.0
57,Lethbridge CDA,28-July-2018,10.8,26.5,19.2,60.2,0.1,7.2,0.0
58,Lethbridge CDA,29-July-2018,11.1,28.9,20.0,55.5,0.0,7.5,0.0
59,Lethbridge CDA,30-July-2018,12.1,33.5,22.6,49.9,0.1,10.0,0.0
60,Lethbridge CDA,31-July-2018,14.9,27.8,20.9,68.0,10.0,11.2,0.0
61,Lethbridge CDA,01-August-2018,13.1,33.8,22.6,61.8,0.2,8.3,0.0
62,Lethbridge CDA,02-August-2018,15.0,32.1,22.7,50.9,0.0,11.8,0.0
63,Lethbridge CDA,03-August-2018,10.6,28.3,20.0,48.8,0.1,17.2,0.0
64,Lethbridge CDA,04-August-2018,14.2,23.4,18.2,56.1,0.0,14.2,0.0
65,Lethbridge CDA,05-August-2018,13.0,23.5,17.0,74.7,0.3,9.6,0.0
66,Lethbridge CDA,06-August-2018,11.1,31.4,21.6,51.2,0.3,11.4,0.0
67,Lethbridge CDA,07-August-2018,12.7,31.7,22.2,47.2,0.0,8.3,0.0
68,Lethbridge CDA,08-August-2018,12.4,31.2,21.6,51.8,0.1,8.0,0.0
69,Lethbridge CDA,09-August-2018,14.0,35.6,24.4,45.0,0.0,9.0,0.0
70,Lethbridge CDA,10-August-2018,15.4,40.1,27.6,35.8,0.1,11.8,0.0
71,Lethbridge CDA,11-August-2018,16.8,25.5,21.1,51.9,0.0,12.8,0.0
72,Lethbridge CDA,12-August-2018,11.2,26.1,17.7,68.7,0.0,14.7,0.0
73,Lethbridge CDA,13-August-2018,10.0,21.0,14.6,66.8,0.0,7.8,0.0
74,Lethbridge CDA,14-August-2018,8.9,29.5,19.0,50.4,0.3,9.6,0.0
75,Lethbridge CDA,15-August-2018,12.5,28.4,19.9,49.5,0.0,10.2,0.0
76,Lethbridge CDA,16-August-2018,9.4,31.1,19.4,57.1,0.0,7.1,0.0
77,Lethbridge CDA,17-August-2018,13.6,31.7,22.7,39.6,0.0,10.4,0.0
78,Lethbridge CDA,18-August-2018,9.1,23.5,17.8,48.5,0.0,15.9,0.0
79,Lethbridge CDA,19-August-2018,4.1,21.3,13.2,62.3,0.0,8.1,0.0
80,Lethbridge CDA,20-August-2018,10.1,21.8,15.8,53.0,0.0,6.6,0.0
81,Lethbridge CDA,21-August-2018,6.1,25.7,15.9,51.8,0.0,11.4,0.0
82,Lethbridge CDA,22-August-2018,9.8,32.6,20.9,43.9,0.0,9.5,1.7
83,Lethbridge CDA,23-August-2018,12.0,31.4,22.1,36.0,0.0,15.1,1.7
84,Lethbridge CDA,24-August-2018,10.2,22.2,14.6,74.1,0.0,16.8,1.7
85,Lethbridge CDA,25-August-2018,5.1,23.3,13.9,69.0,0.1,8.2,1.7
86,Lethbridge CDA,26-August-2018,11.0,22.4,16.8,48.7,0.0,16.1,1.7
87,Lethbridge CDA,27-August-2018,3.2,12.0,8.3,88.2,16.3,23.8,1.7
88,Lethbridge CDA,28-August-2018,2.1,22.9,13.4,62.7,0.5,12.3,1.7
89,Lethbridge CDA,29-August-2018,11.4,25.4,18.1,49.3,0.0,17.5,1.7
90,Lethbridge CDA,30-August-2018,8.8,24.8,16.2,54.9,0.0,9.2,1.7
91,Lethbridge CDA,31-August-2018,6.4,23.7,15.2,56.3,0.0,15.5,1.7
92,Lethbridge CDA,01-September-2018,7.5,18.2,14.8,50.1,0.0,16.6,1.7
93,Lethbridge CDA,02-September-2018,5.4,23.4,13.7,57.0,0.0,9.6,3.4
94,Lethbridge CDA,03-September-2018,8.0,16.0,11.6,66.4,0.0,15.7,5.1
95,Lethbridge CDA,04-September-2018,6.2,15.9,10.0,70.0,0.0,7.9,5.1
96,Lethbridge CDA,05-September-2018,1.5,23.5,12.3,63.3,0.0,7.4,5.1
97,Lethbridge CDA,06-September-2018,5.4,27.0,15.7,59.8,0.0,7.4,6.8
98,Lethbridge CDA,07-September-2018,6.9,31.2,18.6,52.5,0.0,8.6,10.2
99,Lethbridge CDA,08-September-2018,12.1,26.6,19.8,39.7,0.0,17.9,11.9
100,Lethbridge CDA,09-September-2018,10.1,23.2,15.7,70.5,1.3,9.1,11.9
101,Lethbridge CDA,10-September-2018,6.9,24.1,14.3,66.3,0.5,15.2,15.3
102,Lethbridge CDA,11-September-2018,5.7,19.9,11.9,75.3,0.3,6.0,18.6
103,Lethbridge CDA,12-September-2018,3.9,16.2,10.5,74.9,0.5,13.6,23.7
104,Lethbridge CDA,13-September-2018,1.2,6.6,3.6,83.8,0.0,9.0,28.8
105,Lethbridge CDA,14-September-2018,1.7,12.2,5.8,74.8,0.2,11.2,28.8
106,Lethbridge CDA,15-September-2018,1.5,11.7,6.6,92.8,0.0,8.8,32.2
107,Lethbridge CDA,16-September-2018,4.4,13.6,7.2,91.8,1.6,7.6,35.6
108,Lethbridge CDA,17-September-2018,3.7,17.3,9.3,82.0,0.0,7.3,40.7
109,Lethbridge CDA,18-September-2018,3.1,8.9,5.5,93.5,0.0,9.2,44.1
110,Lethbridge CDA,19-September-2018,4.9,11.9,7.5,85.7,0.0,5.9,50.8
111,Lethbridge CDA,20-September-2018,0.5,13.4,7.2,87.1,0.2,6.8,50.8
112,Lethbridge CDA,21-September-2018,4.8,18.5,9.4,86.2,0.0,10.0,57.6
113,Lethbridge CDA,22-September-2018,1.6,5.2,3.4,95.8,0.0,8.9,59.3
114,Lethbridge CDA,23-September-2018,3.4,11.2,6.1,88.2,0.3,7.7,66.1
115,Lethbridge CDA,24-September-2018,2.4,14.6,7.9,81.2,1.0,10.6,67.8
116,Lethbridge CDA,25-September-2018,4.1,18.6,11.7,59.0,0.2,11.9,69.5
117,Lethbridge CDA,26-September-2018,8.1,19.9,12.9,53.1,0.0,11.6,69.5
118,Lethbridge CDA,27-September-2018,4.9,10.1,5.9,96.4,9.7,9.6,72.9
119,Lethbridge CDA,28-September-2018,0.6,7.7,4.9,86.5,0.2,7.1,78.0
120,Lethbridge CDA,29-September-2018,-0.6,5.0,3.5,77.6,0.3,13.2,81.4
121,Lethbridge CDA,30-September-2018,-2.0,1.2,-0.7,86.0,0.3,10.7,84.7
122,Lethbridge CDA,01-October-2018,-1.9,3.5,1.0,97.2,0.0,8.8,84.7
123,Lethbridge CDA,02-October-2018,-2.1,1.6,0.1,97.0,3.8,11.4,86.4
124,Lethbridge CDA,03-October-2018,-3.9,3.6,-0.5,87.6,1.5,8.3,89.8
125,Lethbridge CDA,04-October-2018,-2.0,6.1,1.5,87.4,0.0,5.7,93.2
126,Lethbridge CDA,05-October-2018,-4.6,11.9,4.1,69.2,0.2,10.8,96.6
127,Lethbridge CDA,06-October-2018,-2.3,13.1,5.2,68.3,0.0,6.1,98.3
128,Lethbridge CDA,07-October-2018,-3.8,13.0,3.7,69.5,0.0,6.0,98.3
129,Lethbridge CDA,08-October-2018,-4.9,0.4,-1.4,95.5,0.4,11.9,98.3
130,Lethbridge CDA,09-October-2018,-3.6,-1.3,-2.4,97.8,2.9,15.2,98.3
131,Lethbridge CDA,10-October-2018,-2.1,0.1,-0.8,98.3,0.2,3.8,98.3
132,Lethbridge CDA,11-October-2018,0.0,8.6,2.4,86.7,0.3,8.0,98.3
133,Lethbridge CDA,12-October-2018,0.7,15.6,8.7,60.6,3.0,31.9,98.3
134,Lethbridge CDA,13-October-2018,-1.6,2.0,-0.1,78.4,0.8,14.9,98.3
135,Lethbridge CDA,14-October-2018,-3.3,11.6,4.0,65.2,0.2,16.1,98.3
136,Lethbridge CDA,15-October-2018,6.4,18.8,11.5,43.6,0.0,21.2,98.3
137,Lethbridge CDA,16-October-2018,3.7,20.0,10.8,51.0,0.0,10.0,98.3
138,Lethbridge CDA,17-October-2018,3.7,24.1,13.1,39.9,0.0,17.0,98.3
139,Lethbridge CDA,18-October-2018,5.6,21.1,13.1,35.7,0.0,12.0,98.3
140,Lethbridge CDA,19-October-2018,-2.0,17.7,7.1,62.4,0.0,7.0,100.0
141,Lethbridge CDA,20-October-2018,0.8,24.2,11.8,48.2,0.3,15.9,100.0
