,Station,Date,MinTemp,MaxTemp,MeanTemp,MeanRH,Precip,Wind2,Wind10,Wind10Dir,Frost,MeanDP,MinTemp_uDP,MinTemp_u20,MaxTemp_uDP,MaxTemp_u20,MeanTemp_uDP,MeanTemp_u20,MinTemp_1,MinTemp_3,MinTemp_7,MaxTemp_1,MaxTemp_3,MaxTemp_7,MeanTemp_1,MeanTemp_3,MeanTemp_7,MeanRH_1,MeanRH_3,MeanRH_7,Precip_1,Precip_3,Precip_7,Wind2_1,Wind2_3,Wind2_7,Wind10_1,Wind10_3,Wind10_7,Wind10Dir_1,Wind10Dir_3,Wind10Dir_7,Frost_1,Frost_3,Frost_7,MeanDP_1,MeanDP_3,MeanDP_7,PrecipSum_1,PrecipSum_3,PrecipSum_7,MinTemp_uDPSum_1,MinTemp_uDPSum_3,MinTemp_uDPSum_7,MaxTemp_uDPSum_1,MaxTemp_uDPSum_3,MaxTemp_uDPSum_7,MeanTemp_uDPSum_1,MeanTemp_uDPSum_3,MeanTemp_uDPSum_7,MinTemp_u20Sum_1,MinTemp_u20Sum_3,MinTemp_u20Sum_7,MaxTemp_u20Sum_1,MaxTemp_u20Sum_3,MaxTemp_u20Sum_7,MeanTemp_u20Sum_1,MeanTemp_u20Sum_3,MeanTemp_u20Sum_7
0,Grassy Lake IMCIN,2018-05-20,6.2,27.2,16.4,55.7,0.0,15.9,21.7,177.0,20.3,7.539999999999999,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Grassy Lake IMCIN,2018-05-21,9.2,26.5,18.6,46.7,0.0,10.3,13.4,326.3,18.6,7.940000000000001,0,1,0,0,0,1,6.2,,,27.2,,,16.4,,,55.7,,,0.0,,,15.9,,,21.7,,,177.0,,,20.3,,,7.539999999999999,,,0.0,,,1.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,
2,Grassy Lake IMCIN,2018-05-22,8.1,27.8,19.2,47.1,0.0,6.3,7.5,344.2,15.3,8.62,1,1,0,0,0,1,9.2,,,26.5,,,18.6,,,46.7,,,0.0,,,10.3,,,13.4,,,326.3,,,18.6,,,7.940000000000001,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,
3,Grassy Lake IMCIN,2018-05-23,8.2,29.1,19.8,48.7,0.0,7.1,8.6,149.4,10.2,9.540000000000001,1,1,0,0,0,1,8.1,7.833333333333333,,27.8,27.166666666666668,,19.2,18.066666666666666,,47.1,49.833333333333336,,0.0,0.0,,6.3,10.833333333333334,,7.5,14.200000000000001,,344.2,282.5,,15.3,18.066666666666666,,8.62,8.033333333333333,,0.0,0.0,,1.0,2.0,,0.0,0.0,,0.0,0.0,,1.0,3.0,,0.0,0.0,,1.0,3.0,
4,Grassy Lake IMCIN,2018-05-24,10.3,30.4,21.2,48.3,0.0,15.9,20.8,242.7,8.5,10.86,1,1,0,0,0,0,8.2,8.5,,29.1,27.8,,19.8,19.2,,48.7,47.5,,0.0,0.0,,7.1,7.900000000000001,,8.6,9.833333333333334,,149.4,273.3,,10.2,14.700000000000003,,9.540000000000001,8.700000000000001,,0.0,0.0,,1.0,2.0,,0.0,0.0,,0.0,0.0,,1.0,3.0,,0.0,0.0,,1.0,3.0,
5,Grassy Lake IMCIN,2018-05-25,11.5,30.3,21.4,47.6,0.0,8.2,10.3,235.8,3.4,10.919999999999998,0,1,0,0,0,0,10.3,8.866666666666667,,30.4,29.099999999999998,,21.2,20.066666666666666,,48.3,48.03333333333333,,0.0,0.0,,15.9,9.766666666666666,,20.8,12.300000000000002,,242.7,245.4333333333333,,8.5,11.333333333333334,,10.86,9.673333333333334,,0.0,0.0,,1.0,3.0,,0.0,0.0,,0.0,0.0,,1.0,3.0,,0.0,0.0,,0.0,2.0,
6,Grassy Lake IMCIN,2018-05-26,13.8,25.3,19.2,54.5,0.2,12.1,16.8,243.7,3.4,10.1,0,1,0,0,0,1,11.5,10.0,,30.3,29.933333333333334,,21.4,20.799999999999997,,47.6,48.20000000000001,,0.0,0.0,,8.2,10.399999999999999,,10.3,13.233333333333334,,235.8,209.29999999999998,,3.4,7.366666666666666,,10.919999999999998,10.44,,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,,1.0,3.0,,0.0,0.0,,0.0,1.0,
7,Grassy Lake IMCIN,2018-05-27,11.7,27.4,19.2,55.1,0.0,10.6,13.8,260.7,3.4,10.219999999999999,0,1,0,0,0,1,13.8,11.866666666666667,9.614285714285714,25.3,28.666666666666668,28.085714285714285,19.2,20.599999999999998,19.400000000000002,54.5,50.133333333333326,49.800000000000004,0.2,0.06666666666666667,0.028571428571428574,12.1,12.066666666666668,10.828571428571427,16.8,15.966666666666669,14.157142857142857,243.7,240.73333333333335,245.58571428571426,3.4,5.1000000000000005,11.385714285714286,10.1,10.626666666666665,9.36,0.2,0.2,0.2,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,5.0
8,Grassy Lake IMCIN,2018-05-28,10.9,31.2,22.0,43.7,0.0,13.1,18.6,192.6,3.4,10.74,0,1,0,0,0,0,11.7,12.333333333333334,10.4,27.4,27.666666666666668,28.114285714285717,19.2,19.933333333333334,19.8,55.1,52.400000000000006,49.714285714285715,0.0,0.06666666666666667,0.028571428571428574,10.6,10.299999999999999,10.071428571428571,13.8,13.633333333333335,13.028571428571428,260.7,246.73333333333332,257.54285714285714,3.4,3.4,8.971428571428572,10.219999999999999,10.413333333333332,9.742857142857144,0.0,0.2,0.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,5.0
9,Grassy Lake IMCIN,2018-05-29,11.4,22.4,17.2,48.7,1.7,14.7,20.2,331.4,3.4,6.9399999999999995,0,1,0,0,0,1,10.9,12.133333333333333,10.642857142857142,31.2,27.96666666666667,28.785714285714285,22.0,20.133333333333336,20.285714285714285,43.7,51.1,49.285714285714285,0.0,0.06666666666666667,0.028571428571428574,13.1,11.933333333333332,10.471428571428572,18.6,16.400000000000002,13.771428571428572,192.6,232.33333333333334,238.44285714285712,3.4,3.4,6.8,10.74,10.353333333333333,10.142857142857142,0.0,0.2,0.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0
10,Grassy Lake IMCIN,2018-05-30,8.2,21.3,13.8,66.5,0.6,10.5,13.5,345.3,3.4,7.1000000000000005,0,1,0,0,0,1,11.4,11.333333333333334,11.114285714285716,22.4,27.0,28.014285714285712,17.2,19.466666666666665,20.0,48.7,49.166666666666664,49.51428571428572,1.7,0.5666666666666667,0.2714285714285714,14.7,12.799999999999997,11.671428571428573,20.2,17.533333333333335,15.585714285714287,331.4,261.56666666666666,236.6142857142857,3.4,3.4,5.1,6.9399999999999995,9.299999999999999,9.902857142857142,1.7,1.7,1.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0
11,Grassy Lake IMCIN,2018-05-31,6.8,11.3,8.7,94.3,10.1,13.5,18.9,39.2,1.7,7.559999999999999,1,1,0,1,0,1,8.2,10.166666666666666,11.114285714285714,21.3,24.96666666666667,26.900000000000002,13.8,17.666666666666668,19.142857142857142,66.5,52.96666666666667,52.057142857142864,0.6,0.7666666666666666,0.35714285714285715,10.5,12.766666666666666,12.157142857142858,13.5,17.433333333333334,16.285714285714285,345.3,289.76666666666665,264.59999999999997,3.4,3.4,4.128571428571428,7.1000000000000005,8.26,9.554285714285713,0.6,2.3,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0
12,Grassy Lake IMCIN,2018-06-01,9.1,16.0,11.2,87.3,13.4,10.8,14.3,4.8,1.7,8.659999999999998,0,1,0,1,0,1,6.8,8.799999999999999,10.614285714285716,11.3,18.333333333333332,24.17142857142857,8.7,13.233333333333334,17.357142857142858,94.3,69.83333333333333,58.62857142857143,10.1,4.133333333333333,1.8,13.5,12.899999999999999,11.814285714285715,18.9,17.53333333333333,16.014285714285712,39.2,238.63333333333333,235.52857142857144,1.7,2.8333333333333335,3.157142857142857,7.559999999999999,7.199999999999999,9.082857142857142,10.1,12.399999999999999,12.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,5.0
13,Grassy Lake IMCIN,2018-06-02,6.8,23.0,15.6,56.9,0.0,13.7,18.7,255.2,1.7,6.979999999999999,1,1,0,0,0,1,9.1,8.033333333333333,10.271428571428572,16.0,16.200000000000003,22.128571428571426,11.2,11.233333333333334,15.9,87.3,82.7,64.3,13.4,8.033333333333333,3.7142857142857144,10.8,11.6,12.185714285714285,14.3,15.566666666666665,16.585714285714285,4.8,129.76666666666668,202.5285714285714,1.7,2.266666666666666,2.9142857142857146,8.659999999999998,7.773333333333333,8.76,13.4,24.1,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,2.0,2.0,1.0,3.0,6.0
14,Grassy Lake IMCIN,2018-06-03,6.8,25.7,17.2,55.8,0.0,9.7,13.1,209.0,1.7,8.36,1,1,0,0,0,1,6.8,7.566666666666666,9.271428571428572,23.0,16.766666666666666,21.8,15.6,11.833333333333334,15.385714285714286,56.9,79.5,64.64285714285714,0.0,7.833333333333333,3.685714285714286,13.7,12.666666666666666,12.414285714285715,18.7,17.3,16.857142857142858,255.2,99.73333333333333,204.17142857142858,1.7,1.7,2.6714285714285713,6.979999999999999,7.733333333333332,8.314285714285713,0.0,23.5,25.8,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,2.0,2.0,1.0,3.0,6.0
15,Grassy Lake IMCIN,2018-06-04,12.5,26.7,19.6,46.5,0.0,17.0,23.7,229.3,1.7,8.900000000000002,0,1,0,0,0,1,6.8,7.566666666666666,8.571428571428571,25.7,21.566666666666666,21.557142857142857,17.2,14.666666666666666,15.099999999999998,55.8,66.66666666666666,64.74285714285715,0.0,4.466666666666667,3.685714285714286,9.7,11.4,12.285714285714286,13.1,15.366666666666665,16.757142857142856,209.0,156.33333333333334,196.78571428571428,1.7,1.7,2.4285714285714284,8.36,7.999999999999999,8.048571428571428,0.0,13.4,25.8,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,2.0,1.0,3.0,6.0
16,Grassy Lake IMCIN,2018-06-05,5.0,22.8,14.8,55.5,0.0,8.6,11.1,218.5,1.7,5.9,1,1,0,0,0,1,12.5,8.700000000000001,8.8,26.7,25.133333333333336,20.914285714285715,19.6,17.466666666666665,14.757142857142856,46.5,53.06666666666666,65.14285714285714,0.0,0.0,3.685714285714286,17.0,13.466666666666663,12.842857142857143,23.7,18.5,17.485714285714288,229.3,231.16666666666666,202.02857142857144,1.7,1.7,2.1857142857142855,8.900000000000002,8.08,7.785714285714286,0.0,0.0,25.8,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,3.0,7.0
17,Grassy Lake IMCIN,2018-06-06,7.4,26.7,17.6,43.9,0.0,9.0,12.4,225.7,1.7,6.380000000000001,0,1,0,0,0,1,5.0,8.1,7.885714285714286,22.8,25.066666666666666,20.97142857142857,14.8,17.2,14.414285714285713,55.5,52.599999999999994,66.11428571428571,0.0,0.0,3.442857142857143,8.6,11.766666666666666,11.971428571428572,11.1,15.966666666666667,16.185714285714287,218.5,218.9333333333333,185.9,1.7,1.7,1.9428571428571428,5.9,7.7200000000000015,7.637142857142857,0.0,0.0,24.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,3.0,7.0
18,Grassy Lake IMCIN,2018-06-07,7.8,28.4,19.8,52.1,0.0,11.0,15.2,141.2,1.7,10.22,1,1,0,0,0,1,7.4,8.299999999999999,7.771428571428571,26.7,25.400000000000002,21.74285714285714,17.6,17.333333333333332,14.957142857142857,43.9,48.63333333333333,62.885714285714286,0.0,0.0,3.357142857142857,9.0,11.533333333333331,11.757142857142856,12.4,15.733333333333334,16.02857142857143,225.7,224.5,168.81428571428572,1.7,1.7,1.6999999999999997,6.380000000000001,7.060000000000002,7.534285714285715,0.0,0.0,23.5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,3.0,7.0
19,Grassy Lake IMCIN,2018-06-08,12.5,29.3,21.5,47.6,0.0,12.9,18.6,207.5,1.7,11.02,0,1,0,0,0,0,7.8,6.733333333333334,7.914285714285714,28.4,25.966666666666665,24.185714285714287,19.8,17.400000000000002,16.54285714285714,52.1,50.5,56.857142857142854,0.0,0.0,1.9142857142857144,11.0,9.533333333333331,11.4,15.2,12.9,15.499999999999998,141.2,195.13333333333333,183.3857142857143,1.7,1.7,1.6999999999999997,10.22,7.500000000000001,7.914285714285714,0.0,0.0,13.4,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,3.0,7.0
20,Grassy Lake IMCIN,2018-06-09,13.2,33.2,19.6,65.4,7.1,14.1,21.0,158.8,1.7,12.680000000000003,0,1,0,0,0,1,12.5,9.233333333333334,8.4,29.3,28.133333333333336,26.08571428571429,21.5,19.633333333333336,18.014285714285716,47.6,47.866666666666674,51.18571428571429,0.0,0.0,0.0,12.9,10.966666666666663,11.700000000000001,18.6,15.4,16.114285714285714,207.5,191.46666666666667,212.34285714285716,1.7,1.7,1.7,11.02,9.206666666666667,8.251428571428573,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0
21,Grassy Lake IMCIN,2018-06-10,9.2,18.0,13.6,59.7,2.8,23.8,33.5,235.8,1.7,5.540000000000001,0,1,0,1,0,1,13.2,11.166666666666666,9.314285714285715,33.2,30.3,27.542857142857144,19.6,20.299999999999997,18.585714285714285,65.4,55.03333333333334,52.4,7.1,2.3666666666666667,1.0142857142857142,14.1,12.666666666666664,11.757142857142856,21.0,18.266666666666666,16.442857142857143,158.8,169.16666666666666,198.57142857142858,1.7,1.7,1.6999999999999997,12.680000000000003,11.306666666666667,9.065714285714288,7.1,7.1,7.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,6.0
22,Grassy Lake IMCIN,2018-06-11,7.5,18.6,13.1,42.0,0.0,21.7,30.0,254.1,1.7,1.5,0,1,0,1,0,1,9.2,11.633333333333335,9.657142857142857,18.0,26.833333333333332,26.442857142857143,13.6,18.23333333333333,18.071428571428573,59.7,57.56666666666667,52.957142857142856,2.8,3.2999999999999994,1.4142857142857141,23.8,16.933333333333334,13.771428571428572,33.5,24.366666666666664,19.357142857142858,235.8,200.70000000000002,202.4,1.7,1.7,1.7,5.540000000000001,9.74666666666667,8.662857142857144,2.8,9.899999999999999,9.899999999999999,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,6.0
23,Grassy Lake IMCIN,2018-06-12,8.8,22.7,15.6,36.4,0.0,17.0,23.1,250.8,1.7,2.879999999999999,0,1,0,0,0,1,7.5,9.966666666666667,8.942857142857141,18.6,23.26666666666667,25.285714285714285,13.1,15.433333333333332,17.142857142857142,42.0,55.70000000000001,52.31428571428571,0.0,3.2999999999999994,1.4142857142857141,21.7,19.866666666666664,14.442857142857145,30.0,28.166666666666668,20.25714285714286,254.1,216.23333333333335,205.94285714285715,1.7,1.7,1.7,1.5,6.573333333333335,7.605714285714286,0.0,9.899999999999999,9.899999999999999,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,2.0,2.0,1.0,3.0,6.0
24,Grassy Lake IMCIN,2018-06-13,9.9,26.8,18.4,38.3,0.0,16.0,22.7,237.2,0.0,6.059999999999999,0,1,0,0,0,1,8.8,8.500000000000002,9.485714285714286,22.7,19.766666666666666,25.271428571428572,15.6,14.1,17.25714285714286,36.4,46.03333333333333,49.58571428571428,0.0,0.9333333333333332,1.4142857142857141,17.0,20.833333333333332,15.642857142857142,23.1,28.866666666666664,21.97142857142857,250.8,246.9,210.55714285714288,1.7,1.7,1.6999999999999997,2.879999999999999,3.306666666666667,7.174285714285715,0.0,2.8,9.899999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,2.0,2.0,1.0,3.0,6.0
25,Grassy Lake IMCIN,2018-06-14,8.1,20.8,14.0,65.6,0.8,12.9,17.9,258.8,0.0,7.119999999999999,0,1,0,0,0,1,9.9,8.733333333333334,9.842857142857143,26.8,22.7,25.285714285714285,18.4,15.699999999999998,17.37142857142857,38.3,38.9,48.785714285714285,0.0,0.0,1.4142857142857141,16.0,18.233333333333334,16.642857142857142,22.7,25.266666666666666,23.442857142857147,237.2,247.36666666666667,212.20000000000002,0.0,1.133333333333333,1.457142857142857,6.059999999999999,3.48,7.128571428571428,0.0,0.0,9.899999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,2.0,1.0,3.0,6.0
26,Grassy Lake IMCIN,2018-06-15,8.4,22.1,14.2,74.9,3.0,8.1,10.5,283.5,0.0,9.18,1,1,0,0,0,1,8.1,8.933333333333335,9.885714285714286,20.8,23.433333333333334,24.2,14.0,16.0,16.54285714285714,65.6,46.76666666666666,50.714285714285715,0.8,0.26666666666666666,1.5285714285714285,12.9,15.299999999999999,16.914285714285715,17.9,21.233333333333334,23.828571428571426,258.8,248.9333333333333,229.0,0.0,0.5666666666666667,1.2142857142857142,7.119999999999999,5.353333333333333,6.685714285714285,0.8,0.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,3.0,6.0
27,Grassy Lake IMCIN,2018-06-16,11.2,17.7,13.2,88.4,11.6,8.7,11.5,325.4,0.0,10.88,0,1,0,1,0,1,8.4,8.800000000000002,9.3,22.1,23.233333333333334,23.171428571428574,14.2,15.533333333333331,15.5,74.9,59.599999999999994,54.614285714285714,3.0,1.2666666666666666,1.957142857142857,8.1,12.333333333333334,16.22857142857143,10.5,17.03333333333333,22.67142857142857,283.5,259.8333333333333,239.85714285714286,0.0,0.0,0.9714285714285714,9.18,7.453333333333333,6.422857142857144,3.0,3.8,13.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,2.0,1.0,3.0,7.0
28,Grassy Lake IMCIN,2018-06-17,8.9,23.6,16.8,66.1,0.0,5.9,6.9,95.8,0.0,10.02,1,1,0,0,0,1,11.2,9.233333333333334,9.014285714285714,17.7,20.2,20.957142857142856,13.2,13.799999999999999,14.585714285714285,88.4,76.3,57.89999999999999,11.6,5.133333333333333,2.6,8.7,9.9,15.457142857142856,11.5,13.299999999999999,21.314285714285713,325.4,289.2333333333333,263.65714285714284,0.0,0.0,0.7285714285714285,10.88,9.06,6.1657142857142855,11.6,15.399999999999999,18.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,1.0,3.0,1.0,3.0,7.0
29,Grassy Lake IMCIN,2018-06-18,12.8,20.3,15.8,80.7,1.1,6.7,8.6,139.7,0.0,11.940000000000001,0,1,0,0,0,1,8.9,9.500000000000002,8.971428571428572,23.6,21.133333333333333,21.75714285714286,16.8,14.733333333333334,15.042857142857143,66.1,76.46666666666667,58.81428571428571,0.0,4.866666666666666,2.1999999999999997,5.9,7.5666666666666655,12.9,6.9,9.633333333333333,17.514285714285712,95.8,234.89999999999998,243.65714285714287,0.0,0.0,0.48571428571428577,10.02,10.026666666666669,6.805714285714286,0.0,14.6,15.399999999999999,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,2.0,1.0,3.0,7.0
