"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Rolling Hills AGCM","27-May-2018","5.6","ACTUAL","100.0","27.9","ACTUAL","100.0","18.7","AGGREGATED","100.0","57.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","9.9","AGGREGATED","100.0","11.5","AGGREGATED","100.0","68.1","AGGREGATED","100.0","10.2","COMPUTED",""
"Rolling Hills AGCM","28-May-2018","9.5","ACTUAL","100.0","31.6","ACTUAL","100.0","21.8","AGGREGATED","100.0","44.8","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","16.3","AGGREGATED","100.0","20.1","AGGREGATED","100.0","182.7","AGGREGATED","100.0","8.5","COMPUTED",""
"Rolling Hills AGCM","29-May-2018","11.1","ACTUAL","100.0","22.1","ACTUAL","100.0","17.3","AGGREGATED","100.0","42.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.9","AGGREGATED","100.0","25.3","AGGREGATED","100.0","341.5","AGGREGATED","100.0","8.5","COMPUTED",""
"Rolling Hills AGCM","30-May-2018","7.9","ACTUAL","100.0","20.4","ACTUAL","100.0","13.0","AGGREGATED","100.0","65.4","AGGREGATED","100.0","6.1","AGGREGATED","using element [Precip. Weighing]","6.1","AGGREGATED","using element [Precip. Weighing]","13.0","AGGREGATED","100.0","15.9","AGGREGATED","100.0","344.6","AGGREGATED","100.0","8.5","COMPUTED",""
"Rolling Hills AGCM","31-May-2018","4.2","ACTUAL","100.0","10.2","ACTUAL","100.0","8.5","AGGREGATED","100.0","92.5","AGGREGATED","100.0","11.3","AGGREGATED","using element [Precip. Weighing]","5.2","AGGREGATED","using element [Precip. Weighing]","14.8","AGGREGATED","100.0","18.2","AGGREGATED","100.0","40.0","AGGREGATED","100.0","6.8","COMPUTED",""
"Rolling Hills AGCM","01-June-2018","6.2","ACTUAL","100.0","14.3","ACTUAL","100.0","10.7","AGGREGATED","100.0","85.2","AGGREGATED","100.0","24.5","AGGREGATED","using element [Precip. Weighing]","13.2","AGGREGATED","using element [Precip. Weighing]","13.0","AGGREGATED","100.0","15.7","AGGREGATED","100.0","11.0","AGGREGATED","100.0","5.1","COMPUTED",""
"Rolling Hills AGCM","02-June-2018","3.5","ACTUAL","100.0","23.3","ACTUAL","100.0","15.2","AGGREGATED","100.0","58.5","AGGREGATED","100.0","24.6","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","11.8","AGGREGATED","100.0","14.3","AGGREGATED","100.0","246.3","AGGREGATED","100.0","5.1","COMPUTED",""
"Rolling Hills AGCM","03-June-2018","4.0","ACTUAL","100.0","25.3","ACTUAL","100.0","16.3","AGGREGATED","100.0","57.7","AGGREGATED","100.0","24.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.1","AGGREGATED","100.0","12.1","AGGREGATED","100.0","130.8","AGGREGATED","100.0","5.1","COMPUTED",""
"Rolling Hills AGCM","04-June-2018","12.2","ACTUAL","100.0","25.8","ACTUAL","100.0","19.2","AGGREGATED","100.0","48.0","AGGREGATED","100.0","24.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","19.9","AGGREGATED","100.0","24.9","AGGREGATED","100.0","232.8","AGGREGATED","100.0","5.1","COMPUTED",""
"Rolling Hills AGCM","05-June-2018","5.4","ACTUAL","100.0","22.0","ACTUAL","100.0","14.1","AGGREGATED","100.0","55.7","AGGREGATED","100.0","24.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.0","AGGREGATED","100.0","13.8","AGGREGATED","100.0","221.9","AGGREGATED","100.0","5.1","COMPUTED",""
"Rolling Hills AGCM","06-June-2018","5.7","ACTUAL","100.0","25.5","ACTUAL","100.0","16.7","AGGREGATED","100.0","45.1","AGGREGATED","100.0","24.6","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.3","AGGREGATED","100.0","13.2","AGGREGATED","100.0","212.3","AGGREGATED","100.0","5.1","COMPUTED",""
