"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Fincastle IMCIN","01-June-2018","9.1","ACTUAL","100.0","15.5","ACTUAL","100.0","11.4","AGGREGATED","100.0","84.7","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","14.2","AGGREGATED","using element [Precip. Weighing]","12.5","AGGREGATED","100.0","1.4","COMPUTED","14.6","COMPUTED","","7.4","COMPUTED","","21.8","COMPUTED","","9.6","COMPUTED","0.0","COMPUTED","","2.5","COMPUTED","solar-ACT, 2m wind, Avg.","7.3","COMPUTED"
"Fincastle IMCIN","02-June-2018","7.2","ACTUAL","100.0","21.9","ACTUAL","100.0","15.7","AGGREGATED","100.0","53.8","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.1","AGGREGATED","100.0","5.8","COMPUTED","14.9","COMPUTED","","8.0","COMPUTED","","21.9","COMPUTED","","19.5","COMPUTED","0.0","COMPUTED","","5.6","COMPUTED","solar-ACT, 2m wind, Avg.","16.8","COMPUTED"
"Fincastle IMCIN","03-June-2018","8.0","ACTUAL","100.0","25.8","ACTUAL","100.0","17.3","AGGREGATED","100.0","54.1","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.7","AGGREGATED","100.0","7.8","COMPUTED","14.9","COMPUTED","","8.1","COMPUTED","","21.8","COMPUTED","","29.4","COMPUTED","0.0","COMPUTED","","6.1","COMPUTED","solar-ACT, 2m wind, Avg.","28.7","COMPUTED"
"Fincastle IMCIN","04-June-2018","14.6","ACTUAL","100.0","24.9","ACTUAL","100.0","19.1","AGGREGATED","100.0","47.6","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","21.4","AGGREGATED","100.0","9.1","COMPUTED","15.4","COMPUTED","","8.4","COMPUTED","","22.5","COMPUTED","","39.8","COMPUTED","0.0","COMPUTED","","6.4","COMPUTED","solar-ACT, 2m wind, Avg.","43.4","COMPUTED"
"Fincastle IMCIN","05-June-2018","5.4","ACTUAL","100.0","22.2","ACTUAL","100.0","14.7","AGGREGATED","100.0","53.3","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.6","AGGREGATED","100.0","11.8","COMPUTED","15.5","COMPUTED","","8.6","COMPUTED","","22.3","COMPUTED","","50.3","COMPUTED","0.0","COMPUTED","","5.4","COMPUTED","solar-ACT, 2m wind, Avg.","52.3","COMPUTED"
"Fincastle IMCIN","06-June-2018","7.2","ACTUAL","100.0","26.8","ACTUAL","100.0","17.3","AGGREGATED","100.0","44.2","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.4","AGGREGATED","100.0","15.4","COMPUTED","14.7","COMPUTED","","8.3","COMPUTED","","21.0","COMPUTED","","60.0","COMPUTED","0.0","COMPUTED","","6.1","COMPUTED","solar-ACT, 2m wind, Avg.","64.3","COMPUTED"
"Fincastle IMCIN","07-June-2018","7.9","ACTUAL","100.0","29.0","ACTUAL","100.0","19.3","AGGREGATED","100.0","52.7","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.9","AGGREGATED","100.0","17.2","COMPUTED","14.8","COMPUTED","","8.3","COMPUTED","","21.3","COMPUTED","","69.8","COMPUTED","0.0","COMPUTED","","6.6","COMPUTED","solar-ACT, 2m wind, Avg.","77.7","COMPUTED"
"Fincastle IMCIN","08-June-2018","12.7","ACTUAL","100.0","28.6","ACTUAL","100.0","21.1","AGGREGATED","100.0","47.1","AGGREGATED","100.0","14.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.9","AGGREGATED","100.0","20.3","COMPUTED","15.0","COMPUTED","","8.4","COMPUTED","","21.6","COMPUTED","","79.8","COMPUTED","0.0","COMPUTED","","7.2","COMPUTED","solar-ACT, 2m wind, Avg.","93.3","COMPUTED"
"Fincastle IMCIN","09-June-2018","12.0","ACTUAL","100.0","31.5","ACTUAL","100.0","19.0","AGGREGATED","100.0","63.8","AGGREGATED","100.0","22.0","AGGREGATED","using element [Precip. Weighing]","7.8","AGGREGATED","using element [Precip. Weighing]","15.8","AGGREGATED","100.0","22.8","COMPUTED","14.9","COMPUTED","","8.2","COMPUTED","","21.7","COMPUTED","","89.7","COMPUTED","0.0","COMPUTED","","6.0","COMPUTED","solar-ACT, 2m wind, Avg.","110.1","COMPUTED"
"Fincastle IMCIN","10-June-2018","9.3","ACTUAL","100.0","17.8","ACTUAL","100.0","13.4","AGGREGATED","100.0","56.1","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","2.7","AGGREGATED","using element [Precip. Weighing]","29.7","AGGREGATED","100.0","25.5","COMPUTED","14.7","COMPUTED","","8.1","COMPUTED","","21.3","COMPUTED","","99.4","COMPUTED","0.0","COMPUTED","","5.2","COMPUTED","solar-ACT, 2m wind, Avg.","118.6","COMPUTED"
"Fincastle IMCIN","11-June-2018","7.2","ACTUAL","100.0","18.4","ACTUAL","100.0","13.0","AGGREGATED","100.0","39.8","AGGREGATED","100.0","24.7","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","27.6","AGGREGATED","100.0","28.0","COMPUTED","15.0","COMPUTED","","8.4","COMPUTED","","21.5","COMPUTED","","109.4","COMPUTED","0.0","COMPUTED","","5.8","COMPUTED","solar-ACT, 2m wind, Avg.","126.5","COMPUTED"
