,Station Name,Date (Local Standard Time),Air Temp. Min. (�C),Air Temp. Max. (�C),Air Temp. Avg. (�C),Humidity Avg. (%),Precip. (mm),Wind Speed 10 m Avg. (km/h),Frost Probability 0�C (%)
0,Fincastle IMCIN,01-June-2018,9.1,15.5,11.4,84.7,14.2,12.5,0.0
1,Fincastle IMCIN,02-June-2018,7.2,21.9,15.7,53.8,0.0,18.1,0.0
2,Fincastle IMCIN,03-June-2018,8.0,25.8,17.3,54.1,0.0,12.7,0.0
3,Fincastle IMCIN,04-June-2018,14.6,24.9,19.1,47.6,0.0,21.4,0.0
4,Fincastle IMCIN,05-June-2018,5.4,22.2,14.7,53.3,0.0,11.6,0.0
5,Fincastle IMCIN,06-June-2018,7.2,26.8,17.3,44.2,0.0,10.4,0.0
6,Fincastle IMCIN,07-June-2018,7.9,29.0,19.3,52.7,0.0,11.9,0.0
7,Fincastle IMCIN,08-June-2018,12.7,28.6,21.1,47.1,0.0,15.9,0.0
8,Fincastle IMCIN,09-June-2018,12.0,31.5,19.0,63.8,7.8,15.8,0.0
9,Fincastle IMCIN,10-June-2018,9.3,17.8,13.4,56.1,2.7,29.7,0.0
10,Fincastle IMCIN,11-June-2018,7.2,18.4,13.0,39.8,0.0,27.6,0.0
11,Fincastle IMCIN,12-June-2018,8.8,22.1,15.4,35.1,0.0,22.2,0.0
12,Fincastle IMCIN,13-June-2018,8.1,26.1,17.9,39.0,0.0,19.0,0.0
13,Fincastle IMCIN,14-June-2018,6.2,21.7,13.5,65.5,6.0,15.7,0.0
14,Fincastle IMCIN,15-June-2018,7.6,21.2,13.7,75.7,1.0,9.2,0.0
15,Fincastle IMCIN,16-June-2018,11.0,16.5,12.5,89.0,8.9,12.6,0.0
16,Fincastle IMCIN,17-June-2018,8.9,23.1,16.1,68.6,0.0,6.4,0.0
17,Fincastle IMCIN,18-June-2018,12.8,19.5,15.5,80.7,1.5,7.7,0.0
18,Fincastle IMCIN,19-June-2018,13.1,23.1,17.0,73.0,0.0,8.0,0.0
19,Fincastle IMCIN,20-June-2018,9.5,26.1,18.5,68.7,0.0,12.2,0.0
20,Fincastle IMCIN,21-June-2018,12.6,29.9,21.0,62.1,0.0,14.2,0.0
21,Fincastle IMCIN,22-June-2018,14.4,27.2,20.1,60.7,0.0,17.2,0.0
22,Fincastle IMCIN,23-June-2018,13.5,23.5,17.6,76.1,0.0,13.8,0.0
23,Fincastle IMCIN,24-June-2018,13.8,27.7,20.7,69.1,0.0,8.1,0.0
24,Fincastle IMCIN,25-June-2018,12.8,29.5,21.8,56.5,0.0,20.2,0.0
25,Fincastle IMCIN,26-June-2018,10.2,22.1,17.4,37.3,0.0,25.7,0.0
26,Fincastle IMCIN,27-June-2018,5.6,24.7,16.4,49.5,0.0,15.1,0.0
27,Fincastle IMCIN,28-June-2018,10.7,22.6,16.9,55.2,0.0,12.2,0.0
28,Fincastle IMCIN,29-June-2018,8.4,21.8,15.6,66.1,0.0,12.8,0.0
29,Fincastle IMCIN,30-June-2018,8.5,24.4,17.0,57.7,0.0,18.4,0.0
30,Fincastle IMCIN,01-July-2018,10.2,24.2,16.8,57.2,0.0,13.8,0.0
31,Fincastle IMCIN,02-July-2018,7.0,17.4,12.5,77.0,4.0,9.2,0.0
32,Fincastle IMCIN,03-July-2018,8.5,18.7,12.6,75.6,0.0,11.3,0.0
33,Fincastle IMCIN,04-July-2018,10.2,22.9,15.7,70.9,1.1,11.1,0.0
34,Fincastle IMCIN,05-July-2018,9.2,30.1,19.8,63.5,0.1,13.0,0.0
35,Fincastle IMCIN,06-July-2018,12.9,36.6,24.0,55.1,0.1,15.7,0.0
36,Fincastle IMCIN,07-July-2018,15.1,27.6,22.5,36.0,0.0,23.6,0.0
37,Fincastle IMCIN,08-July-2018,9.1,26.9,18.9,53.9,0.0,8.7,0.0
38,Fincastle IMCIN,09-July-2018,10.6,32.5,21.2,53.4,0.0,8.4,0.0
39,Fincastle IMCIN,10-July-2018,11.1,29.1,18.9,67.3,0.0,12.5,0.0
40,Fincastle IMCIN,11-July-2018,12.0,27.1,20.2,56.4,0.0,12.7,0.0
41,Fincastle IMCIN,12-July-2018,9.5,30.1,20.6,57.9,0.0,9.0,0.0
42,Fincastle IMCIN,13-July-2018,13.1,34.3,23.8,49.1,0.1,14.6,0.0
43,Fincastle IMCIN,14-July-2018,9.9,22.3,16.0,65.3,0.0,16.1,0.0
44,Fincastle IMCIN,15-July-2018,6.6,29.4,18.5,56.2,0.0,9.1,0.0
45,Fincastle IMCIN,16-July-2018,8.7,32.7,21.2,55.5,0.0,5.5,0.0
46,Fincastle IMCIN,17-July-2018,9.6,35.8,22.6,54.5,0.0,7.3,0.0
47,Fincastle IMCIN,18-July-2018,15.8,28.9,21.8,59.6,0.5,15.0,0.0
48,Fincastle IMCIN,19-July-2018,13.0,31.0,21.7,59.0,0.0,10.1,0.0
49,Fincastle IMCIN,20-July-2018,11.9,32.9,22.9,46.6,0.0,13.3,0.0
50,Fincastle IMCIN,21-July-2018,10.3,28.8,18.5,53.6,0.0,10.5,0.0
51,Fincastle IMCIN,22-July-2018,9.0,24.7,16.9,58.3,0.0,14.3,0.0
52,Fincastle IMCIN,23-July-2018,7.2,28.6,18.2,60.7,4.2,13.1,0.0
53,Fincastle IMCIN,24-July-2018,12.8,23.5,16.3,80.6,0.9,9.6,0.0
54,Fincastle IMCIN,25-July-2018,11.0,23.9,17.1,70.1,0.0,5.7,0.0
55,Fincastle IMCIN,26-July-2018,9.4,25.9,17.9,63.5,2.7,7.3,0.0
56,Fincastle IMCIN,27-July-2018,9.0,26.1,17.2,67.6,0.3,6.5,0.0
57,Fincastle IMCIN,28-July-2018,11.8,28.1,19.6,60.2,0.0,5.8,0.0
58,Fincastle IMCIN,29-July-2018,11.0,29.9,20.2,57.0,0.0,7.3,0.0
59,Fincastle IMCIN,30-July-2018,9.5,34.4,22.3,54.2,0.1,9.4,0.0
60,Fincastle IMCIN,31-July-2018,15.0,29.2,21.5,63.3,0.0,10.6,0.0
61,Fincastle IMCIN,01-August-2018,12.2,34.8,23.0,56.8,0.0,10.4,0.0
62,Fincastle IMCIN,02-August-2018,13.6,33.0,22.2,52.9,0.0,8.7,0.0
63,Fincastle IMCIN,03-August-2018,10.0,29.4,19.6,52.4,0.0,16.0,0.0
64,Fincastle IMCIN,04-August-2018,11.9,24.2,17.7,60.6,0.0,16.6,0.0
65,Fincastle IMCIN,05-August-2018,11.1,23.1,17.2,72.9,0.0,10.7,0.0
66,Fincastle IMCIN,06-August-2018,9.1,31.8,20.1,59.2,0.0,8.6,0.0
67,Fincastle IMCIN,07-August-2018,10.4,32.9,21.9,49.8,0.0,9.3,0.0
