"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Vauxhall CDA CS","20-May-2018","5.5","ACTUAL","100.0","26.6","ACTUAL","100.0","16.2","AGGREGATED","100.0","55.0","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","16.0","AGGREGATED","0.0","20.3","AGGREGATED","100.0","189.8","AGGREGATED","100.0","30.5","COMPUTED",""
"Vauxhall CDA CS","21-May-2018","10.6","ACTUAL","100.0","26.3","ACTUAL","100.0","18.8","AGGREGATED","100.0","45.3","AGGREGATED","100.0","0.1","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","9.9","AGGREGATED","0.0","14.2","AGGREGATED","100.0","325.8","AGGREGATED","100.0","25.4","COMPUTED",""
"Vauxhall CDA CS","22-May-2018","7.2","ACTUAL","100.0","27.5","ACTUAL","100.0","18.9","AGGREGATED","100.0","50.3","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.1","AGGREGATED","using element [Precip. Weighing]","6.5","AGGREGATED","0.0","5.7","AGGREGATED","100.0","16.2","AGGREGATED","100.0","20.3","COMPUTED",""
"Vauxhall CDA CS","23-May-2018","8.1","ACTUAL","100.0","28.6","ACTUAL","100.0","19.3","AGGREGATED","100.0","50.7","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.2","AGGREGATED","0.0","7.4","AGGREGATED","100.0","133.5","AGGREGATED","100.0","15.3","COMPUTED",""
"Vauxhall CDA CS","24-May-2018","9.4","ACTUAL","100.0","30.6","ACTUAL","100.0","20.9","AGGREGATED","100.0","50.7","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.3","AGGREGATED","0.0","17.4","AGGREGATED","100.0","228.8","AGGREGATED","100.0","11.9","COMPUTED",""
"Vauxhall CDA CS","25-May-2018","10.0","ACTUAL","100.0","30.0","ACTUAL","100.0","20.9","AGGREGATED","100.0","49.5","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.5","AGGREGATED","0.0","8.1","AGGREGATED","100.0","237.1","AGGREGATED","100.0","8.5","COMPUTED",""
"Vauxhall CDA CS","26-May-2018","12.6","ACTUAL","100.0","24.6","ACTUAL","100.0","18.6","AGGREGATED","100.0","55.3","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.3","AGGREGATED","0.0","16.1","AGGREGATED","100.0","254.0","AGGREGATED","100.0","8.5","COMPUTED",""
"Vauxhall CDA CS","27-May-2018","10.4","ACTUAL","100.0","27.0","ACTUAL","100.0","18.8","AGGREGATED","100.0","58.7","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","10.3","AGGREGATED","0.0","10.9","AGGREGATED","100.0","327.8","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","28-May-2018","10.1","ACTUAL","100.0","31.1","ACTUAL","100.0","21.9","AGGREGATED","100.0","44.8","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.4","AGGREGATED","0.0","16.2","AGGREGATED","100.0","202.6","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","29-May-2018","12.4","ACTUAL","100.0","20.9","ACTUAL","100.0","16.6","AGGREGATED","100.0","47.4","AGGREGATED","100.0","0.2","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.8","AGGREGATED","0.0","18.8","AGGREGATED","100.0","354.4","AGGREGATED","100.0","6.8","COMPUTED",""
