"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 2 m Avg. (km/h)","Wind Speed 2 m Avg. Source Flag","Wind Speed 2 m Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Wind Dir. 10 m Avg. (°)","Wind Dir. 10 m Avg. Source Flag","Wind Dir. 10 m Avg. Record Completeness (%)","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)"
"Vauxhall CDA CS","24-May-2020","5.9","ACTUAL","100.0","21.3","ACTUAL","100.0","13.7","AGGREGATED","100.0","66.3","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","6.7","AGGREGATED","0.0","6.2","AGGREGATED","100.0","189.5","AGGREGATED","100.0","11.9","COMPUTED",""
"Vauxhall CDA CS","25-May-2020","8.4","ACTUAL","100.0","22.7","ACTUAL","100.0","15.9","AGGREGATED","100.0","60.4","AGGREGATED","100.0","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","13.2","AGGREGATED","0.0","17.5","AGGREGATED","100.0","244.0","AGGREGATED","100.0","8.5","COMPUTED",""
"Vauxhall CDA CS","26-May-2020","8.2","ACTUAL","100.0","22.1","ACTUAL","100.0","14.0","AGGREGATED","100.0","71.9","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","14.2","AGGREGATED","0.0","17.1","AGGREGATED","100.0","295.0","AGGREGATED","100.0","8.5","COMPUTED",""
"Vauxhall CDA CS","27-May-2020","6.4","ACTUAL","100.0","18.4","ACTUAL","100.0","12.7","AGGREGATED","100.0","58.4","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","9.5","AGGREGATED","0.0","11.9","AGGREGATED","100.0","330.1","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","28-May-2020","3.8","ACTUAL","100.0","21.8","ACTUAL","100.0","14.3","AGGREGATED","100.0","55.5","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","10.6","AGGREGATED","0.0","11.0","AGGREGATED","100.0","132.2","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","29-May-2020","12.1","ACTUAL","100.0","25.9","ACTUAL","100.0","18.3","AGGREGATED","100.0","51.6","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","10.0","AGGREGATED","0.0","8.7","AGGREGATED","100.0","118.9","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","30-May-2020","11.2","ACTUAL","100.0","27.6","ACTUAL","100.0","19.7","AGGREGATED","100.0","57.4","AGGREGATED","100.0","0.8","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","17.6","AGGREGATED","0.0","22.1","AGGREGATED","100.0","138.8","AGGREGATED","100.0","6.8","COMPUTED",""
"Vauxhall CDA CS","31-May-2020","13.2","ACTUAL","100.0","24.5","ACTUAL","100.0","18.7","AGGREGATED","100.0","61.3","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.2","AGGREGATED","using element [Precip. 1-hr TBRG]","23.2","AGGREGATED","0.0","34.1","AGGREGATED","100.0","200.6","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","01-June-2020","9.5","ACTUAL","100.0","22.0","ACTUAL","100.0","15.9","AGGREGATED","100.0","50.1","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","13.7","AGGREGATED","0.0","16.6","AGGREGATED","100.0","251.9","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","02-June-2020","4.6","ACTUAL","100.0","23.4","ACTUAL","100.0","15.8","AGGREGATED","100.0","52.3","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","13.0","AGGREGATED","0.0","17.3","AGGREGATED","100.0","239.3","AGGREGATED","100.0","5.1","COMPUTED",""
"Vauxhall CDA CS","03-June-2020","7.5","ACTUAL","100.0","22.2","ACTUAL","100.0","15.4","AGGREGATED","100.0","48.9","AGGREGATED","100.0","1.0","AGGREGATED","using element [Precip. 1-hr TBRG]","0.0","AGGREGATED","using element [Precip. 1-hr TBRG]","10.7","AGGREGATED","0.0","12.9","AGGREGATED","100.0","318.0","AGGREGATED","100.0","5.1","COMPUTED",""
