,Station Name,Date (Local Standard Time),Air Temp. Min. (�C),Air Temp. Max. (�C),Air Temp. Avg. (�C),Humidity Avg. (%),Precip. (mm),Wind Speed 10 m Avg. (km/h),Frost Probability 0�C (%)
0,Vauxhall CDA CS,01-June-2018,8.8,14.9,11.1,87.4,19.5,10.8,5.1
1,Vauxhall CDA CS,02-June-2018,7.4,22.6,15.8,58.7,0.1,15.4,5.1
2,Vauxhall CDA CS,03-June-2018,7.1,24.9,16.7,60.8,0.0,10.1,5.1
3,Vauxhall CDA CS,04-June-2018,13.6,25.2,19.4,47.6,0.0,25.5,5.1
4,Vauxhall CDA CS,05-June-2018,5.7,21.8,14.3,56.9,0.1,12.7,5.1
5,Vauxhall CDA CS,06-June-2018,7.9,26.0,17.9,41.6,0.0,11.4,5.1
6,Vauxhall CDA CS,07-June-2018,7.8,28.8,19.2,55.4,0.0,10.8,5.1
7,Vauxhall CDA CS,08-June-2018,12.0,29.0,21.4,48.1,0.0,16.4,5.1
8,Vauxhall CDA CS,09-June-2018,9.9,31.5,18.3,68.8,4.0,13.6,3.4
9,Vauxhall CDA CS,10-June-2018,10.0,17.8,13.6,58.4,3.5,33.1,3.4
10,Vauxhall CDA CS,11-June-2018,8.4,19.1,13.4,40.7,0.0,25.5,3.4
11,Vauxhall CDA CS,12-June-2018,8.2,22.5,15.7,34.6,0.0,21.2,1.7
12,Vauxhall CDA CS,13-June-2018,11.3,25.8,18.5,37.2,0.1,21.2,0.0
13,Vauxhall CDA CS,14-June-2018,7.8,20.4,12.9,72.9,3.1,14.6,0.0
14,Vauxhall CDA CS,15-June-2018,7.2,19.7,13.2,82.9,2.6,7.5,0.0
15,Vauxhall CDA CS,16-June-2018,10.7,18.0,12.8,89.2,8.7,13.9,0.0
16,Vauxhall CDA CS,17-June-2018,10.6,22.3,16.2,71.0,0.3,5.5,0.0
17,Vauxhall CDA CS,18-June-2018,11.4,19.4,15.3,85.6,0.3,6.4,0.0
18,Vauxhall CDA CS,19-June-2018,13.0,23.8,17.9,70.5,0.3,7.4,0.0
19,Vauxhall CDA CS,20-June-2018,9.2,25.8,18.4,71.3,0.0,11.2,0.0
20,Vauxhall CDA CS,21-June-2018,12.3,29.1,20.9,66.8,0.0,13.1,0.0
21,Vauxhall CDA CS,22-June-2018,13.7,28.4,20.1,64.7,0.0,15.9,0.0
22,Vauxhall CDA CS,23-June-2018,14.2,23.5,17.4,83.8,3.4,12.6,0.0
23,Vauxhall CDA CS,24-June-2018,13.3,27.9,20.4,73.2,0.1,7.6,0.0
24,Vauxhall CDA CS,25-June-2018,14.2,29.8,21.9,58.4,0.0,20.3,0.0
25,Vauxhall CDA CS,26-June-2018,9.6,23.1,17.8,38.5,0.1,25.2,0.0
26,Vauxhall CDA CS,27-June-2018,4.4,25.2,16.9,48.2,0.1,14.1,0.0
27,Vauxhall CDA CS,28-June-2018,12.2,21.2,17.0,56.6,0.0,11.9,0.0
28,Vauxhall CDA CS,29-June-2018,9.8,20.6,15.2,73.0,0.0,10.3,0.0
29,Vauxhall CDA CS,30-June-2018,8.1,24.2,16.8,61.5,0.0,16.9,0.0
30,Vauxhall CDA CS,01-July-2018,10.8,23.3,16.3,62.7,0.0,12.8,0.0
31,Vauxhall CDA CS,02-July-2018,6.1,17.6,12.0,81.7,1.8,7.5,0.0
32,Vauxhall CDA CS,03-July-2018,8.6,17.9,12.9,77.5,0.6,11.0,0.0
33,Vauxhall CDA CS,04-July-2018,10.3,21.9,15.7,73.5,5.1,10.5,0.0
34,Vauxhall CDA CS,05-July-2018,8.8,28.7,19.4,65.3,0.2,12.3,0.0
35,Vauxhall CDA CS,06-July-2018,13.4,35.3,23.5,59.9,0.1,14.4,0.0
36,Vauxhall CDA CS,07-July-2018,15.3,27.7,22.1,38.2,0.3,23.4,0.0
37,Vauxhall CDA CS,08-July-2018,8.9,26.8,18.8,56.8,0.0,7.1,0.0
38,Vauxhall CDA CS,09-July-2018,9.1,30.2,21.0,54.5,0.1,7.2,0.0
39,Vauxhall CDA CS,10-July-2018,10.7,30.1,18.9,71.6,1.6,13.4,0.0
40,Vauxhall CDA CS,11-July-2018,13.0,27.1,20.3,59.8,0.4,13.8,0.0
41,Vauxhall CDA CS,12-July-2018,10.0,29.7,20.8,58.1,0.0,7.3,0.0
42,Vauxhall CDA CS,13-July-2018,11.9,33.3,23.4,52.5,0.0,12.3,0.0
43,Vauxhall CDA CS,14-July-2018,12.2,22.0,16.3,62.2,0.0,17.5,0.0
